iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09374579042196274,0.0961247906088829,1288.4031982421875,,8000,10000,,
1,0.19166980683803558,0.11554552614688873,665.593505859375,1192.7581787109375,15818,7818,20,0
2,0.23562225699424744,0.1253574937582016,427.290771484375,828.7717895507812,21930,6112,20,0
3,0.24523524940013885,0.13009658455848694,631.5399780273438,442.86309814453125,24952,3022,20,0
4,0.25238704681396484,0.13370385766029358,601.35888671875,626.7733764648438,28844,3892,20,0
5,0.26369377970695496,0.13367538154125214,565.6181640625,604.5122680664062,32676,3832,20,0
6,0.26933348178863525,0.13730573654174805,619.7788696289062,576.0069580078125,36370,3694,20,0
7,0.27253422141075134,0.144413560628891,621.7692260742188,614.21337890625,40245,3875,20,0
8,0.27213773131370544,0.14890523254871368,629.6329345703125,626.3541870117188,44275,4030,20,0
9,0.2803225815296173,0.1619744598865509,326.9848327636719,622.4989624023438,48295,4020,20,0
