iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09659741073846817,0.0993591845035553,1156.4705810546875,,8000,10000,,
1,0.1855272501707077,0.12254399061203003,498.367431640625,1121.4326171875,15588,7588,20,0
2,0.2262161523103714,0.12676651775836945,683.20703125,398.6619567871094,19545,3957,20,0
3,0.24273328483104706,0.12911304831504822,480.9801940917969,672.3161010742188,23792,4247,20,0
4,0.2511626183986664,0.13216641545295715,467.7472839355469,478.7259826660156,27025,3233,20,0
5,0.2569618821144104,0.13453079760074615,598.5470581054688,493.2164611816406,30316,3291,20,0
6,0.2608223259449005,0.13803914189338684,560.8577270507812,583.3573608398438,34118,3802,20,0
7,0.26342296600341797,0.14331047236919403,579.57763671875,539.9225463867188,37811,3693,20,0
8,0.26642975211143494,0.14889857172966003,590.6378173828125,575.18994140625,41525,3714,20,0
9,0.2670542597770691,0.15379539132118225,619.7733764648438,595.8157348632812,45380,3855,20,0
