iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.1079439,110.5,,,5000,5000,0,0,1.0,0.107759856,0.11058503,,1,10,,,
1,0.11058998,107.9000015258789,1000.0,0.8,15000,5000,9883,117,1.0,0.110625595,0.113878466,0,1,10,0,110.5,0.8
2,0.113776915,314.8000183105469,1000.0,0.7000000000000001,16547,5000,11250,297,1.0,0.11171352,0.11985933,0,9,10,0,110.5,0.7000000000000001
3,0.113766365,220.1999969482422,1000.0,0.6000000000000001,16632,5000,11250,382,1.0,0.11468032,0.11753743,0,7,10,2,314.8000183105469,0.6000000000000001
4,0.11376586,87.70000457763672,1000.0,0.5,16725,5000,11250,475,1.0,0.11518088,0.118248306,0,5,10,2,314.8000183105469,0.5
5,0.12878135,74.4000015258789,1000.0,0.4,18157,5000,11250,1907,1.0,0.12310186,0.14727873,0,10,10,2,314.8000183105469,0.4
6,0.14449535,115.5,1000.0,0.30000000000000004,19527,5000,11250,3277,1.0,0.16963974,0.16671081,0,5,10,2,314.8000183105469,0.30000000000000004
7,0.14488232,87.5999984741211,47.9,0.19999999999999996,19568,5000,11250,3318,1.0,0.17072147,0.16700998,0,6,10,2,314.8000183105469,0.19999999999999996
8,0.14445229,87.5,52.9,0.09999999999999998,19600,5000,11250,3350,1.0,0.17123444,0.16667436,0,1,10,2,314.8000183105469,0.09999999999999998
9,0.16328512,87.0999984741211,291.1,0.0,19629,5000,11250,3379,1.0,0.17767638,0.18574636,0,1,10,2,314.8000183105469,0.0
10,0.16744396,92.5999984741211,288.7,0.0,19654,5000,11250,3404,1.0,0.16643707,0.20504631,0,2,10,2,314.8000183105469,0.0
11,0.17568596,106.4000015258789,293.5,0.0,19681,5000,11250,3431,1.0,0.18248676,0.2161601,0,8,10,2,314.8000183105469,0.0
12,0.17391683,98.30000305175781,276.2,0.0,19706,5000,11250,3456,1.0,0.18080874,0.22364193,0,1,10,2,314.8000183105469,0.0
13,0.1765481,98.30000305175781,294.7,0.0,19732,5000,11250,3482,1.0,0.17889117,0.23057857,0,2,10,2,314.8000183105469,0.0
14,0.18045141,101.0,294.1,0.0,19758,5000,11250,3508,1.0,0.17573766,0.23937985,0,5,10,2,314.8000183105469,0.0
