iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.11015940705935161,838.0562744140625,,8000,8000,10000,,
1,0.12897901485363641,273.748779296875,954.86669921875,15041,10000,7041,20,0
2,0.1384759023785591,428.1494140625,274.09722900390625,17363,10000,2322,20,0
3,0.14022348324457803,458.8531188964844,428.5773620605469,20375,10000,3012,20,0
4,0.13334965209166208,914.8395385742188,463.5313415527344,24034,10000,3659,20,0
5,0.15014590074618658,713.8330078125,916.1564331054688,29836,10000,5802,20,0
6,0.14298987636963525,430.04638671875,715.279296875,34834,10000,4998,20,0
7,0.1471154565612475,790.38525390625,429.0838317871094,37914,10000,3080,20,0
8,0.16401215394337973,1463.6123046875,839.7035522460938,43592,10000,5678,20,0
9,0.14256457736094794,901.9408569335938,1465.324462890625,52997,10000,9405,20,0
