position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,9,0.03145424649119377,0.022455988451838493,39.400001525878906,0.03111681155860424,0.023153124377131462,39.20000076293945,"[9.115941047668457, 8.736429214477539]"
1,8,0.031377777457237244,0.03249175846576691,21.899999618530273,0.030880922451615334,0.02939791791141033,25.200000762939453,"[3.917801856994629, 1.8150519132614136]"
2,7,0.031240224838256836,0.016727976500988007,131.3000030517578,0.030292458832263947,0.017940184101462364,139.6999969482422,"[0.5193584561347961, 0.06249512732028961]"
3,6,0.031202442944049835,0.024630410596728325,23.700000762939453,0.030823104083538055,0.024423642084002495,24.30000114440918,"[2.9727838039398193, 1.0857857465744019]"
4,5,0.03117275796830654,0.01701616495847702,167.0,0.030318280681967735,0.017718587070703506,106.9000015258789,"[0.506536066532135, 0.050426796078681946]"
5,4,0.03113836608827114,0.01911500096321106,95.5,0.03045949712395668,0.018642008304595947,107.0999984741211,"[0.5062978267669678, 0.06677109003067017]"
6,3,0.0308800358325243,0.01785089075565338,120.4000015258789,0.03016223944723606,0.017755402252078056,141.5,"[0.5048983097076416, 0.05951160192489624]"
7,2,0.030780058354139328,0.025866959244012833,29.899999618530273,0.03056078962981701,0.025547204539179802,30.600000381469727,"[2.5731968879699707, 1.3527089357376099]"
8,1,0.030480505898594856,0.016750037670135498,141.5,0.02940538339316845,0.018417008221149445,166.5,"[0.5580446720123291, 0.04637846350669861]"
9,0,0.030314581468701363,0.017160888761281967,146.60000610351562,0.02918040007352829,0.018657609820365906,133.8000030517578,"[0.5799561738967896, 0.04903315007686615]"
