position,expression,length,operon_mse,validation_mse,reward
0,(0.075422 + (0.882525 * (0.338239 * X4))),5,0.04567015916109085,0.06275419890880585,15.90000057220459
1,(0.070483 + (0.480634 * tanh(((-4.706079) * X3)))),6,0.031107762828469276,0.08020514249801636,21.30000114440918
2,(0.062097 + (1.000015 * ((0.865387 * X4) / (sqrt(1 + (3.449037 * X3) ^ 2))))),7,0.029034115374088287,0.05480685085058212,35.5
3,(0.078462 + (0.478453 * tanh(((1.414214 * X4) - ((-5.889311) * X2))))),8,0.0265138428658247,0.06001551076769829,73.20000457763672
4,(0.053786 + (0.923357 * (((0.612473 * X4) - ((-2.077301) * X2)) / (sqrt(1 + (2.315057 * X3) ^ 2))))),9,0.024263516068458557,0.04854312911629677,68.30000305175781
5,(0.014705 + (0.953514 * (tanh(((-4.900659) * X3)) / (sqrt(1 + (((-32.345337) * X1) - ((-0.388094) * X4)) ^ 2))))),10,0.02261514775454998,0.04584185406565666,19.80000114440918
6,(0.055203 + (0.922085 * (((0.987298 * X4) / (sqrt(1 + ((3.894629 * X3) + ((-17.368277) * X2)) ^ 2))) - ((-2.471792) * X2)))),11,0.022347813472151756,0.04709777235984802,81.20000457763672
7,((-0.003183) + (1.016230 * (tanh(((0.906089 * X4) - ((-5.889311) * X2))) / (sqrt(1 + (((-30.068287) * X1) - ((-0.368828) * X4)) ^ 2))))),12,0.018344871699810028,0.03640975430607796,173.40000915527344
8,((-0.025497) + (1.041105 * ((((1.934616 * X3) - ((-1.212451) * X4)) - ((-4.959079) * X2)) / (sqrt(1 + (((-16.367268) * X1) - ((-0.548520) * X4)) ^ 2))))),13,0.018103286623954773,0.022132184356451035,389.20001220703125
9,((-0.002686) + (0.995163 * (tanh((((1.181966 * X4) / (sqrt(1 + (1.824787 * X3) ^ 2))) - ((-5.652517) * X2))) / (sqrt(1 + (((-27.915016) * X1) - ((-0.326331) * X4)) ^ 2))))),14,0.01775200292468071,0.03408629819750786,184.3000030517578
10,((-0.007301) + (1.017764 * ((((0.907716 * X4) - ((-3.614054) * X2)) / (sqrt(1 + (2.645826 * X3) ^ 2))) / (sqrt(1 + (((23247.910156 * X1) - (406.838654 * X4)) / (sqrt(1 + 1237.941162 ^ 2))) ^ 2))))),15,0.01680860109627247,0.03463698551058769,172.90000915527344
11,(0.007636 + (1.008674 * (tanh(((0.850942 * X4) - ((-6.942402) * X2))) / (sqrt(1 + ((((23248.277344 * X1) - (1346.229492 * X4)) + ((-2182.777344) * X3)) / (sqrt(1 + 920.629883 ^ 2))) ^ 2))))),16,0.01602211408317089,0.036440424621105194,863.5
12,(0.001828 + (0.996871 * ((((0.665181 * X4) - ((-21.110451) * X2)) / (sqrt(1 + ((((15820.566406 * X1) - (1247.153198 * X4)) + ((-2050.133301) * X3)) / (sqrt(1 + 454.125763 ^ 2))) ^ 2))) / (sqrt(1 + ((-23.109587) * X2) ^ 2))))),17,0.013528100214898586,0.031942348927259445,322.70001220703125
13,((-0.005384) + (1.024450 * (((((1.202479 * X3) - ((-1.110829) * X4)) - ((-17.864538) * X2)) / (sqrt(1 + ((((23247.910156 * X1) - (2213.462646 * X4)) + ((-3664.378418) * X3)) / (sqrt(1 + 807.135010 ^ 2))) ^ 2))) / (sqrt(1 + ((-20.913883) * X2) ^ 2))))),19,0.01268573198467493,0.027244839817285538,430.6000061035156
14,(0.002716 + (1.091367 * ((((((0.939577 * X4) - ((-8.218492) * X2)) / (sqrt(1 + ((-16.921892) * X2) ^ 2))) - ((-2.197455) * X2)) / (sqrt(1 + ((((25548.619141 * X1) - (2451.399902 * X4)) + ((-3962.987549) * X3)) / (sqrt(1 + 1373.866699 ^ 2))) ^ 2))) - ((-0.573997) * X3)))),21,0.012210318818688393,0.024090414866805077,807.2999877929688
15,((-0.013346) + (1.024919 * (((((tanh(((-2.404804) * X4)) - ((-8.869999) * X2)) - ((-2.242989) * X4)) / (sqrt(1 + (3.935759 * X3) ^ 2))) / (sqrt(1 + ((((30073.460938 * X1) - (3510.783691 * X4)) + ((-5802.383301) * X3)) / (sqrt(1 + 1843.497559 ^ 2))) ^ 2))) - (1.294327 * X2)))),22,0.012183026410639286,0.029920030385255814,107.70000457763672
16,((-0.022364) + (1.035383 * ((((((0.955747 * X4) - ((-7.782598) * X2)) / (sqrt(1 + ((-12.532366) * X2) ^ 2))) - ((-3.658367) * X2)) / (sqrt(1 + ((((25548.619141 * X1) - (2550.466797 * X4)) + ((-4111.989746) * X3)) / (sqrt(1 + 1618.607422 ^ 2))) ^ 2))) - ((1.727863 * X2) - (0.708641 * X3))))),23,0.011205654591321945,0.020105039700865746,227.60000610351562
