iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.10900836,122.5999984741211,,,5000,5000,0,0,1.0,0.10908884,0.11174041,,8,10,,,
1,0.11017204,105.80000305175781,1000.0,0.8,15000,5000,9949,51,1.0,0.10936519,0.11457021,0,2,10,0,122.5999984741211,0.8
2,0.11782445,181.90000915527344,1000.0,0.7000000000000001,16575,5000,11250,325,1.0,0.11376054,0.12872352,0,4,10,0,122.5999984741211,0.7000000000000001
3,0.11578632,187.0,1000.0,0.6000000000000001,16674,5000,11250,424,1.0,0.11190094,0.12513775,0,1,10,2,181.90000915527344,0.6000000000000001
4,0.11556607,187.0,1000.0,0.5,16775,5000,11250,525,1.0,0.112457104,0.12356793,0,1,10,3,187.0,0.5
5,0.115866564,187.0,1000.0,0.4,16883,5000,11250,633,1.0,0.11296534,0.12344766,0,1,10,3,187.0,0.4
6,0.1158271,231.40000915527344,1000.0,0.30000000000000004,16992,5000,11250,742,1.0,0.11194989,0.12501256,0,1,10,3,187.0,0.30000000000000004
7,0.116048,236.1999969482422,1000.0,0.19999999999999996,17013,5000,11250,763,1.0,0.111970484,0.12573048,0,1,10,6,231.40000915527344,0.19999999999999996
8,0.11692656,236.1999969482422,1000.0,0.09999999999999998,17013,5000,11250,763,1.0,0.11203079,0.12763838,0,1,10,7,236.1999969482422,0.09999999999999998
9,0.12753974,234.8000030517578,199.3,0.0,17043,5000,11250,793,1.0,0.13049793,0.13914011,0,5,10,7,236.1999969482422,0.0
10,0.13453129,232.0,228.1,0.0,17073,5000,11250,823,1.0,0.13987507,0.15034248,0,8,10,7,236.1999969482422,0.0
11,0.13966763,228.5,214.7,0.0,17099,5000,11250,849,1.0,0.14514786,0.15940739,0,7,10,7,236.1999969482422,0.0
12,0.14589359,209.6999969482422,229.2,0.0,17125,5000,11250,875,1.0,0.1561751,0.16951229,0,5,10,7,236.1999969482422,0.0
13,0.15231681,214.3000030517578,264.5,0.0,17159,5000,11250,909,1.0,0.1653317,0.17969432,0,1,10,7,236.1999969482422,0.0
14,0.15659636,222.90000915527344,198.8,0.0,17182,5000,11250,932,1.0,0.1679266,0.18624014,0,3,10,7,236.1999969482422,0.0
