iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09538067877292633,0.09185813367366791,1356.0682373046875,,8000,10000,,
1,0.1925462782382965,0.11146368831396103,283.1840515136719,1438.46923828125,17113,9113,20,0
2,0.2217799574136734,0.11856324970722198,692.2374267578125,283.9153137207031,20258,3145,20,0
3,0.23744791746139526,0.12064994871616364,739.70166015625,659.1755981445312,24856,4598,20,0
4,0.24500690400600433,0.12344959378242493,665.4735107421875,720.2332153320312,29651,4795,20,0
5,0.2504619359970093,0.12660780549049377,654.3365478515625,617.2366333007812,33998,4347,20,0
6,0.256845086812973,0.12959538400173187,824.0357666015625,608.11279296875,38404,4406,20,0
7,0.2644163966178894,0.13525556027889252,868.9860229492188,768.9042358398438,43639,5235,20,0
8,0.27216702699661255,0.14201828837394714,177.13571166992188,867.7282104492188,49447,5808,20,0
9,0.2677481174468994,0.14236053824424744,863.8259887695312,185.15655517578125,51208,1761,20,0
