iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09316922724246979,0.09021678566932678,646.1559448242188,,8000,10000,,
1,0.17750504612922668,0.10556912422180176,68.86897277832031,608.29248046875,12486,4486,20,0
2,0.18662570416927338,0.10881056636571884,926.2672729492188,68.72867584228516,13346,860,20,0
3,0.21824751794338226,0.1198733001947403,679.4856567382812,952.1822509765625,19625,6279,20,0
4,0.23594766855239868,0.12691102921962738,1208.880859375,688.3799438476562,23921,4296,20,0
5,0.24511997401714325,0.13760925829410553,804.5894775390625,848.0724487304688,29106,5185,20,0
6,0.2530188262462616,0.14303481578826904,1299.0491943359375,822.7408447265625,34467,5361,20,0
7,0.25174596905708313,0.14621490240097046,793.6073608398438,1327.2396240234375,42940,8473,20,0
8,0.2630762755870819,0.1492951661348343,310.8372497558594,774.4366455078125,47639,4699,20,0
9,0.26799845695495605,0.14322422444820404,308.1459045410156,311.9859924316406,50163,2524,20,0
