iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09664405882358551,0.09768373519182205,664.9509887695312,,8000,10000,,
1,0.18851083517074585,0.12111038714647293,638.2531127929688,635.0489501953125,12793,4793,20,0
2,0.20454052090644836,0.13700634241104126,441.1901550292969,639.1004638671875,18815,6022,20,0
3,0.22366662323474884,0.13255997002124786,486.2863464355469,441.5256042480469,21859,3044,20,0
4,0.23405878245830536,0.1341100037097931,663.5472412109375,543.0989379882812,25328,3469,20,0
5,0.24019622802734375,0.13786838948726654,663.5023193359375,688.0466918945312,29600,4272,20,0
6,0.24137327075004578,0.14229989051818848,709.0585327148438,687.1203002929688,33840,4240,20,0
7,0.2411879450082779,0.15005838871002197,933.94091796875,760.9393920898438,38505,4665,20,0
8,0.2391386330127716,0.15563787519931793,647.553955078125,1028.3746337890625,44769,6264,20,0
9,0.2594659924507141,0.15603798627853394,661.8270874023438,646.3087768554688,49388,4619,20,0
