iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,1468.1959228515625,0.07580284029245377,0.08119934797286987,0.08197157829999924,0.08626124262809753,8000,33.41077249497175,,0,8000
1,3154.033447265625,0.14033080637454987,0.1050475537776947,0.15960673987865448,0.11241880059242249,15912,39.676119410956744,1224.9537353515625,0,7912
2,419.1698913574219,0.11291787028312683,0.12367559224367142,0.1304401010274887,0.13713772594928741,35912,45.287967341952026,3157.64892578125,0,20000
3,479.39849853515625,0.12688978016376495,0.12818050384521484,0.14738546311855316,0.14080670475959778,38759,45.93531874200562,418.2472839355469,0,2847
4,333.7107849121094,0.13349926471710205,0.12382366508245468,0.1597122699022293,0.13797777891159058,41890,46.65348035597708,484.1570739746094,0,3131
5,2603.18017578125,0.14070142805576324,0.135220006108284,0.16217872500419617,0.1543753743171692,44892,48.58496622100938,363.5299377441406,0,3002
6,657.2666015625,0.1611587554216385,0.14168228209018707,0.17431418597698212,0.14181119203567505,59796,50.75995931599755,2292.413330078125,0,14904
7,602.5914306640625,0.17145760357379913,0.128705233335495,0.19069655239582062,0.14650169014930725,63761,51.59226973995101,661.3078002929688,0,3965
8,673.6862182617188,0.18409590423107147,0.12972013652324677,0.20172543823719025,0.14678077399730682,68313,55.275791299995035,639.5354614257812,0,4552
9,404.242919921875,0.1859351098537445,0.136189267039299,0.20218805968761444,0.14958983659744263,73494,55.99773258896312,815.8792724609375,0,5181
