position,complexity,equation,pysr_loss,validation_mse,reward
0,1,0.0010186207,0.006523656,0.0070291124284267426,23.80000114440918
1,2,tanh(x3),0.0047572395,0.006461588200181723,100.0
2,3,x3 / 2.6303465,0.0030315777,0.004123605787754059,80.0999984741211
3,4,tanh(x3) * 0.57835937,0.002752253,0.003922048956155777,95.80000305175781
4,5,tanh(tanh(x3)) * 0.676398,0.0027398337,0.003859743010252714,101.80000305175781
5,6,x1 + (tanh(x3) / 1.8011224),0.002484566,0.003646810771897435,235.6999969482422
6,7,x1 + (tanh(tanh(x3)) * 0.64993423),0.0024666016,0.00357822491787374,242.8000030517578
7,8,(x1 + x1) + (tanh(x3) / 1.8794496),0.0023861094,0.003559684846550226,258.20001220703125
8,9,tanh((tanh(x3) * 0.5793861) + (x1 + x1)),0.0023627272,0.0035074949264526367,259.20001220703125
9,10,tanh(x3) * (x3 + (x2 + (x2 + 0.45886263))),0.002202297,0.0035711731761693954,70.5999984741211
10,11,tanh(tanh(x3)) * ((x3 + x2) + (x2 + 0.5539931)),0.0021625725,0.0034975323360413313,75.0
11,12,x1 + ((x2 + (x2 + (x3 + 0.43572038))) * tanh(x3)),0.0019769466,0.003257530741393566,223.3000030517578
12,13,x1 + ((x2 + (x2 + (x3 + 0.52754015))) * tanh(tanh(x3))),0.0019245798,0.003183560911566019,310.8999938964844
13,14,x1 + ((x2 + (((x2 + x3) + 0.41110036) + x1)) * tanh(x3)),0.0019081618,0.0031375016551464796,221.3000030517578
14,15,(((x3 + (x2 + 0.5036721)) + x2) * tanh(tanh(x3))) + (x1 * 1.9021411),0.0018555033,0.003062211209908128,254.0
15,17,(tanh(tanh(x3)) * ((x2 + ((x1 + x2) + 0.5036721)) + x3)) + (1.9021411 * x1),0.0018023619,0.0030079055577516556,252.40000915527344
16,18,tanh(tanh(tanh(((x1 * 8.652643) + x3) * ((1.1692861 - x0) - (x0 + (x0 * 4.57329)))))),0.0017968552,0.00349717540666461,203.3000030517578
17,19,tanh(tanh(tanh(tanh(((1.1597296 - x0) - ((x0 + x0) * 2.589684)) * (x3 + (x1 * 7.5785356)))))),0.0017169616,0.003240424208343029,177.6999969482422
