iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.028648467734456062,0.030696863308548927,425.4760437011719,,8000,10000,,,198,200
1,0.02741478942334652,0.031656887382268906,750.33349609375,425.3138122558594,10832,2832,20,0,199,200
2,0.039587587118148804,0.028482355177402496,1380.4217529296875,1134.9425048828125,18751,7919,20,0,192,200
3,0.0483880452811718,0.03190987557172775,3101.519287109375,1465.5474853515625,27789,9038,20,0,189,200
4,0.03355038911104202,0.02782854624092579,3238.847412109375,3090.29052734375,47789,20000,20,0,198,200
5,0.025757532566785812,0.022080449387431145,3156.044921875,3233.152099609375,67789,20000,20,0,198,200
6,0.028621723875403404,0.022671815007925034,2898.093505859375,3167.145263671875,87789,20000,20,0,199,200
7,0.027012618258595467,0.01912398636341095,3214.003173828125,2391.50341796875,102252,14463,20,0,197,200
8,0.023154856637120247,0.015151964500546455,3155.9287109375,3209.708251953125,122252,20000,20,0,192,200
9,0.020766116678714752,0.016349179670214653,3251.716064453125,3157.670654296875,142252,20000,20,0,195,200
