iteration,loss,reward,mixed_reward
0,-0.35232782,135.8,1000.0
1,-0.31658348,10.3,1000.0
2,-0.35857704,26.7,14.45
3,-0.35630864,250.90001,1000.0
4,-0.3125915,10.2,1000.0
5,-0.35213628,23.9,70.75
6,-0.36490664,238.8,1000.0
7,-0.31254637,10.2,1000.0
8,-0.35317805,1000.0,1000.0
