iteration,loss,reward,mixed_reward
0,-0.35279638,93.8,1000.0
1,-0.31540588,14.400001,311.65
2,-0.34402722,255.90001,1000.0
3,-0.31288785,10.7,1000.0
4,-0.35145962,255.90001,1000.0
5,-0.3130521,11.0,1000.0
6,-0.3586575,42.9,24.6
7,-0.35509852,250.90001,1000.0
8,-0.3127722,8.8,1000.0
9,-0.31424794,26.300001,1000.0
10,-0.34440482,26.9,20.550001
11,-0.36009544,134.5,1000.0
12,-0.32284227,11.0,1000.0
13,-0.3556559,240.7,1000.0
14,-0.31337455,11.0,1000.0
15,-0.31457725,11.0,1000.0
16,-0.35951,72.6,1000.0
17,-0.32864407,24.1,1000.0
18,-0.34394825,614.7,1000.0
19,3.4028235e+38,1000.0,1000.0
