iteration,loss,reward,mixed_reward
0,-0.35317212,166.2,1000.0
1,-0.31397432,11.0,1000.0
2,-0.35513648,250.90001,1000.0
3,-0.31274343,11.0,1000.0
4,-0.35703263,97.6,296.2
5,-0.37707013,10.8,1000.0
6,-0.34897447,203.6,1000.0
7,-0.31333578,10.2,1000.0
8,-0.35213628,23.9,70.75
9,-0.36490664,238.8,1000.0
10,-0.31254637,10.2,1000.0
11,-0.35317805,1000.0,1000.0
