iteration,loss,reward,mixed_reward
0,-0.35232782,135.8,1000.0
1,-0.3157428,9.2,1000.0
2,-0.3534483,203.6,1000.0
3,-0.31333578,10.2,1000.0
4,-0.35213628,23.9,70.75
5,-0.36490664,238.8,1000.0
6,-0.31254637,10.2,1000.0
7,-0.35317805,1000.0,1000.0
