iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.10666168,93.3,,,5000,5000,0,1.0,0.10385374,0.11199501,
1,0.16772458,45.100002,1000.0,0.5,10000,5000,5000,1.0,0.13895512,0.22401763,0
2,0.1702402,252.5,1000.0,0.5,15000,5000,10000,1.0,0.14569788,0.21804334,0
3,0.1553396,252.5,1000.0,0.5,20000,5000,15000,1.0,0.13481379,0.19418955,0
4,0.1439477,252.5,1000.0,0.5,20000,5000,15000,1.0,0.1264581,0.17588598,0
5,0.13681592,221.90001,1000.0,0.5,20000,5000,15000,1.0,0.1278896,0.16290776,0
6,0.13318405,252.5,802.0,0.5,20000,5000,15000,1.0,0.11893395,0.15879326,0
7,0.12856774,234.8,1000.0,0.5,20000,5000,15000,1.0,0.11758204,0.14938004,0
8,0.12593207,234.8,1000.0,0.5,20000,5000,15000,1.0,0.115714274,0.1450824,0
9,0.12387147,234.8,1000.0,0.5,20000,5000,15000,1.0,0.11363875,0.14186691,0
