iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.10621952,93.1,,,5000,5000,0,1.0,0.10340235,0.11167842,
1,0.15320146,217.90001,1000.0,0.5,10000,5000,5000,1.0,0.13302937,0.19258922,0
2,0.13617924,210.0,1000.0,0.5,15000,5000,10000,1.0,0.12192262,0.1638925,0
3,0.12899618,210.0,1000.0,0.5,20000,5000,15000,1.0,0.117498256,0.15122089,0
4,0.12388258,198.8,1000.0,0.5,20000,5000,15000,1.0,0.11419146,0.14242214,0
5,0.12012641,186.3,1000.0,0.5,20000,5000,15000,1.0,0.11177309,0.13615087,0
6,0.118007794,186.3,1000.0,0.5,20000,5000,15000,1.0,0.110243715,0.13259242,0
7,0.11666519,186.3,1000.0,0.5,20000,5000,15000,1.0,0.10947802,0.13015227,0
8,0.11556109,186.3,1000.0,0.5,20000,5000,15000,1.0,0.108776495,0.12820537,0
9,0.114781596,186.3,1000.0,0.5,20000,5000,15000,1.0,0.10844331,0.12654132,0
