iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.001626145443879068,8422.125,,8000,8000,10000,,
1,0.007248708512634039,377.69549560546875,7968.67724609375,25043,10000,17043,20,0
2,0.009165133349597454,511.6036071777344,391.32623291015625,25906,10000,863,20,0
3,0.018763966858386993,1026.4207763671875,525.84326171875,27066,10000,1160,20,0
4,0.005542332772165537,614.6864013671875,1027.3199462890625,29292,10000,2226,20,0
5,0.005659512709826231,1342.9046630859375,628.2486572265625,30665,10000,1373,20,0
6,0.009144272655248642,908.6438598632812,1283.295654296875,33445,10000,2780,20,0
7,0.00404915539547801,1210.362548828125,951.0536499023438,35513,10000,2068,20,0
8,0.0035958888474851847,1428.96044921875,1181.3031005859375,38067,10000,2554,20,0
9,0.003628445789217949,1375.9404296875,1383.48291015625,41060,10000,2993,20,0
