iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,408.9173889160156,0.06797734647989273,0.07125244289636612,0.06797734647989273,0.07125244289636612,8000,101.10288589599077,,0,8000
1,299.6687927246094,0.09748372435569763,0.09251376986503601,0.09748372435569763,0.09251376986503601,10848,100.41065143595915,400.3647155761719,0,2848
2,433.1883850097656,0.13306573033332825,0.10386775434017181,0.13306573033332825,0.10386775434017181,13613,102.04916396195767,300.5064697265625,0,2765
3,907.9371337890625,0.15458273887634277,0.10269220173358917,0.15458273887634277,0.10269220173358917,16573,118.20921412803,439.4308776855469,0,2960
4,851.1117553710938,0.18260283768177032,0.10470692813396454,0.18260283768177032,0.10470692813396454,23013,130.056042614975,946.3790283203125,0,6440
5,754.8484497070312,0.1994301825761795,0.11216361075639725,0.1994301825761795,0.11216361075639725,28866,118.56577429000754,864.76904296875,0,5853
6,677.2537231445312,0.20952866971492767,0.1309933215379715,0.20952866971492767,0.1309933215379715,33907,120.96752952598035,759.1847534179688,0,5041
7,790.6071166992188,0.21636341512203217,0.12797769904136658,0.21636341512203217,0.12797769904136658,38750,119.02035637997324,689.0694580078125,0,4843
8,832.9208984375,0.22083012759685516,0.12752650678157806,0.22083012759685516,0.12752650678157806,44289,124.11523452098481,846.9498901367188,0,5539
9,1118.4163818359375,0.219649538397789,0.12650470435619354,0.219649538397789,0.12650470435619354,49257,126.71158723195549,833.56689453125,0,4968
