iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.025920750573277473,0.02618415653705597,402.9981994628906,,8000,10000,,,199,200
1,0.02465861476957798,0.026582151651382446,155.39559936523438,406.0828552246094,10795,2795,20,0,199,200
2,0.029600637033581734,0.02832684852182865,701.8826293945312,159.4170684814453,12435,1640,20,0,194,200
3,0.03389286994934082,0.025867270305752754,1978.1839599609375,969.671875,18821,6386,20,0,197,200
4,0.03641960024833679,0.027690665796399117,3124.3271484375,1787.7982177734375,29321,10500,20,0,190,200
5,0.030465014278888702,0.02215515822172165,3178.1171875,3123.55859375,49321,20000,20,0,196,200
6,0.02691313810646534,0.019159559160470963,3188.365966796875,3180.806640625,69321,20000,20,0,198,200
7,0.025701943784952164,0.01769622415304184,2471.23876953125,3188.221923828125,89321,20000,20,0,185,200
8,0.02416834980249405,0.01666395738720894,3150.129638671875,2508.6943359375,104935,15614,20,0,192,200
9,0.02066723071038723,0.0155137088149786,3151.693115234375,3153.772705078125,124935,20000,20,0,193,200
