action_index,position,expression,length,operon_mse,validation_mse
0,0,((-0.101230) + ((-2.081341) * (0.207458 * X3))),5,0.10686518996953964,0.11488275974988937
0,1,(0.008327 + (0.997148 * ((0.102887 * X7) + ((-0.149475) * X8)))),7,0.09428683668375015,0.0988273099064827
0,2,((-0.011300) + (1.012661 * ((((-0.146539) * X8) + (0.099698 * X7)) - (0.650059 * X2)))),9,0.09244156628847122,0.09646618366241455
0,3,(0.004253 + (0.994329 * ((((-0.150930) * X8) + (0.514596 * X7)) + tanh(((-0.522598) * X7))))),10,0.09131700545549393,0.09639254212379456
0,4,((-0.032551) + (0.994004 * ((((-0.151299) * X8) + (0.097191 * X7)) + (((-2.486017) * X3) / (sqrt(1 + ((-5.257159) * X11) ^ 2)))))),11,0.08914903551340103,0.0937504917383194
0,5,((-0.033441) + (1.007136 * (((((-0.159900) * X8) - ((-0.026286) * X10)) + (0.113030 * X7)) + (((-2.486017) * X3) / (sqrt(1 + ((-5.257159) * X11) ^ 2)))))),13,0.08724332600831985,0.0913199931383133
0,6,((-0.025521) + (0.894708 * ((((-0.181603) * X8) + (0.543757 * X7)) + tanh(((((-18.823271) * X2) / (sqrt(1 + (2.516338 * X11) ^ 2))) + ((-0.563226) * X7)))))),14,0.0839027613401413,0.08875282108783722
0,7,((-0.020056) + (0.977597 * tanh(((((-0.183733) * X8) + (0.544184 * X7)) + tanh(((((-147.351440) * X2) / (sqrt(1 + (26.707075 * X11) ^ 2))) + ((-0.561970) * X7))))))),15,0.08314429968595505,0.08806020021438599
0,8,((-0.015051) + (0.996981 * (((((-0.191723) * X8) + (0.493032 * X7)) + ((8.677266 * X2) / (sqrt(1 + ((-2.079646) * X11) ^ 2)))) + tanh(((((-197.252197) * X2) / (sqrt(1 + (18.080433 * X11) ^ 2))) + ((-0.489460) * X7)))))),18,0.08161483705043793,0.08824040740728378
0,9,((-0.019821) + (0.948694 * ((((-0.159788) * X8) - ((-0.132362) * X10)) + (tanh(((((-0.053925) * X8) - (0.163706 * X10)) + ((((-17.582533) * X2) / (sqrt(1 + (2.263703 * X11) ^ 2))) + ((-0.586681) * X7)))) + (0.554206 * X7))))),20,0.08123484253883362,0.08617014437913895
0,10,((-0.015219) + (0.997506 * ((((((9.041345 * X2) / (sqrt(1 + ((-2.294505) * X11) ^ 2))) + (0.503188 * X7)) - tanh(((-0.395160) * X8))) - (0.539120 * X8)) + tanh(((((-165.029602) * X2) / (sqrt(1 + (15.645878 * X11) ^ 2))) + ((-0.506805) * X7)))))),21,0.08078313618898392,0.08738647401332855
0,11,((-0.012454) + (0.992044 * (((((-0.199316) * X8) - ((-0.012430) * X10)) + (((9.741797 * X2) / (sqrt(1 + (2.822182 * X11) ^ 2))) + (0.505365 * X7))) + tanh(((1.376223 * X2) + ((((-137.854034) * X2) / (sqrt(1 + (10.670935 * X11) ^ 2))) + ((-0.485312) * X7))))))),22,0.08067487180233002,0.08703435212373734
0,12,((-0.015675) + (0.864301 * (((((-0.169014) * X8) - ((-0.126580) * X10)) + (((-0.002587) * X8) + (0.471812 * X7))) + tanh(tanh(((((-0.119201) * X8) - (0.165158 * X10)) + ((((-158.366150) * X2) / (sqrt(1 + (15.589037 * X11) ^ 2))) + ((-0.526549) * X7)))))))),23,0.07934866100549698,0.08470962941646576
0,13,((-0.012873) + (0.979941 * (((((6.553685 * X2) / (sqrt(1 + (1.295441 * X11) ^ 2))) + (0.517197 * X7)) - ((0.200096 * X8) - (0.122532 * X10))) + tanh(((((-0.027582) * X8) - (0.145519 * X10)) + ((((-102.542580) * X2) / (sqrt(1 + (7.518136 * X11) ^ 2))) + ((-0.523630) * X7))))))),24,0.07846911251544952,0.08502146601676941
