teacher,k,seed,reward,train_mse,held_out_mse,solved_9350,solved_9359,fit_seconds,evaluation_seconds,minimum_episode_reward,reused
CGP,1,0,4201.42822265625,0.0001461529900552705,0.00012181701458757743,False,False,22.07425549099935,37.91500320200066,3466.488525390625,False
CGP,1,1,4328.0078125,0.0002558745036367327,0.0001848328538471833,False,False,33.220434726998064,26.02548349100107,3813.89794921875,False
CGP,1,2,8965.0380859375,3.1982963264454156e-05,6.176538590807468e-05,False,False,32.930572458000825,26.726173431998177,6976.15283203125,False
CGP,1,3,5938.720703125,8.624247129773721e-05,0.00010983418178511783,False,False,33.68675779499972,26.189780537999468,4046.98876953125,False
CGP,1,4,5280.44775390625,2.641739229147788e-05,5.6118748034350574e-05,False,False,33.41604786899916,26.14620478500001,2737.50537109375,False
ANN,1,0,778.955078125,0.0009476133855059743,0.0008277984452433884,False,False,35.38649235199773,35.7249289020001,594.8800659179688,False
ANN,1,1,1857.5604248046875,0.0012488021748140454,0.0013375368434935808,False,False,31.326566529998672,25.862997661999543,1110.490966796875,False
ANN,1,2,1089.5565185546875,0.0006589103722944856,0.0009062108001671731,False,False,31.352137686997594,24.12840638399939,938.676513671875,False
ANN,1,3,884.5123901367188,0.0015462683513760567,0.0009822695283219218,False,False,32.89195436800219,24.42350434400214,482.9779052734375,False
ANN,1,4,777.3919067382812,0.001093134400434792,0.0011000302620232105,False,False,32.26305497100111,23.973922494998988,538.9500732421875,False
CGP,2,0,4574.49560546875,0.00010119307989953086,6.38882047496736e-05,False,False,34.723115953998786,35.99454108699865,368.9405212402344,False
CGP,2,1,6089.7421875,0.00013060630590189248,0.00014322424249257892,False,False,31.79395749899777,24.43071458399936,4701.92236328125,False
CGP,2,2,9000.3955078125,1.6610903912805952e-05,0.00011132385407108814,False,False,32.68842145899907,24.868869817000814,7208.771484375,False
CGP,2,3,7652.21728515625,0.0001214522635564208,0.00011075958900619298,False,False,31.70952042799763,24.472519441998884,5020.9609375,False
CGP,2,4,9175.8388671875,2.3590837372466922e-05,0.0001354999840259552,False,False,31.576125291001517,24.018772810999508,7769.84521484375,False
ANN,2,0,1884.932861328125,0.000684100785292685,0.0005344451637938619,False,False,34.51734476000274,36.67945285099995,931.79833984375,False
ANN,2,1,1191.39453125,0.0011052883928641677,0.0012577989837154746,False,False,31.766325626998878,24.55125204000069,876.3023681640625,False
ANN,2,2,2699.5673828125,0.0004986215499229729,0.0006908910581842065,False,False,31.453317356998014,25.908455185999628,1698.27490234375,False
ANN,2,3,1920.8414306640625,0.0010948670096695423,0.000584159221034497,False,False,32.26349478300108,24.726650558000983,1183.281982421875,False
ANN,2,4,364.61529541015625,0.0005901329568587244,0.0006010942743159831,False,False,31.88640154300083,24.27353765800217,305.64056396484375,False
CGP,4,0,8022.32763671875,8.132203220156953e-06,1.5516827261308208e-05,False,False,36.05916869900102,37.30421417699836,5573.03759765625,False
CGP,4,1,7321.42822265625,6.360748375300318e-05,0.00014914304483681917,False,False,32.84292976300276,24.44596254100179,5563.142578125,False
CGP,4,2,7594.90234375,2.7914171369047835e-05,0.00011067427112720907,False,False,34.359347654000885,22.899932194999565,5029.65234375,False
CGP,4,3,3848.495361328125,8.1533522461541e-05,9.311836038250476e-05,False,False,30.175889210000605,23.02572222500021,2934.43408203125,False
CGP,4,4,8377.0498046875,1.2517017466961988e-06,7.410007469843549e-07,False,False,30.94616876999862,23.213393841000652,5320.38671875,False
ANN,4,0,945.7341918945312,0.0005798137281090021,0.0004415313887875527,False,False,36.8394504909993,33.561968059999344,646.0262451171875,False
ANN,4,1,673.6277465820312,0.0009893497917801142,0.0010768065694719553,False,False,30.3742684860008,22.647722621000867,614.1654052734375,False
ANN,4,2,736.61865234375,0.000351965514710173,0.0004140051605645567,False,False,29.155962298002123,23.263127002002875,686.062255859375,False
ANN,4,3,768.8370361328125,0.0006469662766903639,0.0005285441875457764,False,False,31.282365217000915,22.852296738001314,520.0870361328125,False
ANN,4,4,2987.856201171875,0.0007450256962329149,0.0006185210077092052,False,False,31.330245935001585,21.56946182899992,2503.822265625,False
CGP,8,0,8319.3037109375,6.13030897511635e-06,3.0451608836301602e-05,False,False,,,4019.79736328125,True
CGP,8,1,5383.2353515625,4.6811943320790306e-05,9.64087012107484e-05,False,False,,,4241.517578125,True
CGP,8,2,9209.1904296875,1.9853684989357134e-06,0.0003580349439289421,False,False,,,7873.7353515625,True
CGP,8,3,8631.7861328125,1.755672383296769e-05,3.989219476352446e-05,False,False,,,6012.0419921875,True
CGP,8,4,8972.5234375,1.409980541211553e-06,3.767296584555879e-05,False,False,,,5507.37841796875,True
ANN,8,0,347.5858459472656,0.0003091014514211565,0.0005756370374001563,False,False,,,267.92816162109375,True
ANN,8,1,9359.1015625,0.0003316477232147008,0.00041276661795563996,True,True,,,9359.0625,True
ANN,8,2,8628.6982421875,0.0002634254051372409,0.0003618891059886664,False,False,,,2065.12060546875,True
ANN,8,3,9354.423828125,0.00036825449205935,0.0004338026337791234,True,False,,,9354.3505859375,True
ANN,8,4,1021.4149780273438,0.0002855297934729606,0.00023047284048516303,False,False,,,848.0667114257812,True
CGP,16,0,8701.7919921875,1.2075163340341533e-06,5.993989361741114e-06,False,False,37.45147175099919,34.36520253300114,6517.1962890625,False
CGP,16,1,8776.759765625,3.6193910091242287e-07,5.204292028793134e-05,False,False,29.353353941001842,23.611557213000196,6714.45263671875,False
CGP,16,2,8337.666015625,8.341472721440368e-07,0.00010544261749600992,False,False,32.02032095600225,23.384507183000096,5684.72412109375,False
CGP,16,3,9314.4697265625,1.4813886082265526e-06,2.27487016672967e-05,False,False,31.033135906000098,24.268491746999644,9024.376953125,False
CGP,16,4,9140.3798828125,2.5397364211698914e-08,5.019154923502356e-05,False,False,32.56741959599822,22.837010551997082,7948.54443359375,False
