teacher,k,seed,reward,train_mse,held_out_mse,solved_9350,solved_9359,fit_seconds,evaluation_seconds,minimum_episode_reward,reused
ANN,16,0,574.99072265625,0.00017926863802131265,0.0002645720960572362,False,False,35.43524118300047,34.145765148001374,259.078369140625,False
ANN,16,1,3055.085205078125,0.00024606642546132207,0.00022269734472502023,False,False,31.626114886999858,22.958808749001037,726.5128173828125,False
ANN,16,2,9359.1328125,0.00021871823992114514,0.0002623082255013287,True,True,31.26345104700158,23.664983980001125,9359.072265625,False
ANN,16,3,1808.495361328125,0.0002383507671765983,0.0006907796487212181,False,False,32.47223451999889,24.98159510700134,595.818359375,False
ANN,16,4,690.3792114257812,0.00017791874415706843,0.00019465321383904666,False,False,31.393309297000087,22.715185097000358,108.51201629638672,False
CGP,32,0,9357.3974609375,6.949892963348248e-07,4.390621688799001e-05,True,False,40.35356414999842,32.3056861920013,9355.486328125,False
CGP,32,1,9196.1611328125,4.726912639085867e-09,6.902024324517697e-05,False,False,35.97814296899742,22.75041724699986,7743.259765625,False
CGP,32,2,9133.6787109375,3.7149170850625524e-08,3.5319029848324135e-05,False,False,39.741715675001615,24.233255978997477,7115.66796875,False
CGP,32,3,9359.130859375,3.5575769743445562e-06,6.6606980908545665e-06,True,True,42.5773999539997,24.19559744900107,9357.859375,False
CGP,32,4,9097.314453125,2.9380933241895946e-08,4.319815616327105e-07,False,False,42.316336052001134,24.06053438500021,7685.9619140625,False
ANN,32,0,801.2745971679688,0.00013529782881960273,0.0002318727783858776,False,False,41.69924618999721,33.75055888499992,221.337890625,False
ANN,32,1,737.16455078125,0.0001771063543856144,0.00015616283053532243,False,False,34.979717255999276,24.69803803800096,192.9085693359375,False
ANN,32,2,2139.31689453125,9.118145680986345e-05,0.0004078319179825485,False,False,39.29581228200186,23.083234768000693,174.0335235595703,False
ANN,32,3,4188.97900390625,0.00016382166359107941,0.0002633139956742525,False,False,41.04837598700033,25.53435948799961,501.7444152832031,False
ANN,32,4,3466.430908203125,0.0001599686365807429,0.0001559680822538212,False,False,41.237240558999474,24.914787781002815,799.8748779296875,False
