teacher,k,seeds,solved_9350,solved_9359,mean_reward,median_reward,min_reward,max_reward,median_train_mse,median_held_out_mse,median_fit_seconds,median_evaluation_seconds
CGP,1,5,0,0,5742.728515625,5280.44775390625,4201.42822265625,8965.0380859375,8.624247129773721e-05,0.00010983418178511783,33.220434726998064,26.189780537999468
ANN,1,5,0,0,1077.595263671875,884.5123901367188,777.3919067382812,1857.5604248046875,0.001093134400434792,0.0009822695283219218,32.26305497100111,24.42350434400214
CGP,2,5,0,0,7298.537890625,7652.21728515625,4574.49560546875,9175.8388671875,0.00010119307989953086,0.00011132385407108814,31.79395749899777,24.472519441998884
ANN,2,5,0,0,1612.2703002929688,1884.932861328125,364.61529541015625,2699.5673828125,0.000684100785292685,0.0006010942743159831,31.88640154300083,24.726650558000983
CGP,4,5,0,0,7032.840673828125,7594.90234375,3848.495361328125,8377.0498046875,2.7914171369047835e-05,9.311836038250476e-05,32.84292976300276,23.213393841000652
ANN,4,5,0,0,1222.534765625,768.8370361328125,673.6277465820312,2987.856201171875,0.0006469662766903639,0.0005285441875457764,31.282365217000915,22.852296738001314
CGP,8,5,0,0,8103.2078125,8631.7861328125,5383.2353515625,9209.1904296875,6.13030897511635e-06,3.989219476352446e-05,,
ANN,8,5,2,1,5742.244891357422,8628.6982421875,347.5858459472656,9359.1015625,0.0003091014514211565,0.00041276661795563996,,
CGP,16,5,0,0,8854.2134765625,8776.759765625,8337.666015625,9314.4697265625,8.341472721440368e-07,5.019154923502356e-05,32.02032095600225,23.611557213000196
ANN,16,5,1,1,3097.616662597656,1808.495361328125,574.99072265625,9359.1328125,0.00021871823992114514,0.0002623082255013287,31.626114886999858,23.664983980001125
CGP,32,5,2,1,9228.7365234375,9196.1611328125,9097.314453125,9359.130859375,3.7149170850625524e-08,3.5319029848324135e-05,40.35356414999842,24.19559744900107
ANN,32,5,0,0,2266.633190917969,2139.31689453125,737.16455078125,4188.97900390625,0.0001599686365807429,0.0002318727783858776,41.04837598700033,24.914787781002815
