candidate,spid_loss,spid_fitness,performance_gap,fidelity_gap,reward,loss_rank,reward_rank
0,0.117885195,-0.117885195,0.10837971,0.13452476,234.75,1,15
1,0.117885195,-0.117885195,0.10837971,0.13452476,234.75,1,15
2,0.117951386,-0.117951386,0.10892961,0.13419226,228.40001,3,17
3,0.11840264,-0.11840264,0.11052098,0.13386586,203.35,13,18
4,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
5,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
6,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
7,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
8,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
9,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
10,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
11,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
12,0.11825372,-0.11825372,0.108376056,0.13515383,246.25,4,1
13,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
14,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
15,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
16,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
17,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
18,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
19,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
20,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
21,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
22,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
23,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
24,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
25,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
26,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
27,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
28,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
29,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
30,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
31,0.11842036,-0.11842036,0.11074262,0.13370594,198.0,14,55
32,0.11847557,-0.11847557,0.110987596,0.13363865,186.45,38,75
33,0.118540026,-0.118540026,0.110861294,0.13386656,197.95,40,74
34,0.11843255,-0.11843255,0.10878238,0.13470629,240.6,33,10
35,0.11843255,-0.11843255,0.10878238,0.13470629,240.6,33,10
36,0.11843255,-0.11843255,0.10878238,0.13470629,240.6,33,10
37,0.11843255,-0.11843255,0.10878238,0.13470629,240.6,33,10
38,0.11843255,-0.11843255,0.10878238,0.13470629,240.6,33,10
39,0.1185187,-0.1185187,0.11171708,0.13316599,104.05,39,100
40,0.118690446,-0.118690446,0.11129271,0.13380408,130.95,41,98
41,0.118690446,-0.118690446,0.11129271,0.13380408,130.95,41,98
42,0.11873012,-0.11873012,0.11153316,0.13371296,161.1,43,97
43,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
44,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
45,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
46,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
47,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
48,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
49,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
50,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
51,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
52,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
53,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
54,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
55,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
56,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
57,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
58,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
59,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
60,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
61,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
62,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
63,0.11877615,-0.11877615,0.111411296,0.13390015,185.65001,44,76
64,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
65,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
66,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
67,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
68,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
69,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
70,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
71,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
72,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
73,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
74,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
75,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
76,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
77,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
78,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
79,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
80,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
81,0.11877723,-0.11877723,0.11111897,0.13413441,202.05,65,19
