iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples
0,0.1075426,95.3,,,5000,5000,0
1,0.16697654,187.3,1000.0,0.5,10000,5000,5000
2,0.1486021,187.3,1000.0,0.5,15000,5000,10000
3,0.13679093,231.6,1000.0,0.5,20000,5000,15000
4,0.13036056,218.2,1000.0,0.5,20000,5000,15000
5,0.12654452,218.2,1000.0,0.5,20000,5000,15000
6,0.122806266,1000.0,1000.0,0.5,20000,5000,15000
