iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions,best_epoch,epochs_completed
0,0.02490231767296791,0.027395863085985184,431.9582214355469,,8000,10000,,,198,200
1,0.031644850969314575,0.029232485219836235,1154.253662109375,487.0248107910156,11523,3523,20,0,198,200
2,0.03888758644461632,0.0398528054356575,848.4736328125,1138.1904296875,18702,7179,20,0,199,200
3,0.035330597311258316,0.03441663831472397,265.23272705078125,930.0502319335938,24259,5557,20,0,195,200
4,0.035922639071941376,0.03383144363760948,3176.449951171875,265.4330139160156,26716,2457,20,0,192,200
5,0.03003203496336937,0.030774381011724472,3164.618896484375,3163.705810546875,46716,20000,20,0,185,200
6,0.025043241679668427,0.025580067187547684,3127.577880859375,3169.296142578125,66716,20000,20,0,198,200
7,0.025914713740348816,0.023221557959914207,3184.0078125,3123.286376953125,86716,20000,20,0,181,200
8,0.020119845867156982,0.019397467374801636,3166.512451171875,3182.970458984375,106716,20000,20,0,195,200
9,0.019863629713654518,0.01983932964503765,3220.77294921875,3162.99560546875,126716,20000,20,0,196,200
