action_index,generation,best_loss,median_loss,candidate_count
0,0,0.30759891867637634,0.3127954602241516,4
0,1,0.29409462213516235,0.30758804082870483,5
0,2,0.2835596203804016,0.2995605766773224,5
0,3,0.2825445830821991,0.2995605766773224,7
0,4,0.2808634340763092,0.2883007526397705,9
0,5,0.26675254106521606,0.2880464643239975,10
0,6,0.257693886756897,0.2936784327030182,7
0,7,0.24775783717632294,0.29210785031318665,9
0,8,0.24448320269584656,0.2810780256986618,10
0,9,0.21094733476638794,0.2630116194486618,12
1,0,0.2951693832874298,0.3163423240184784,5
1,1,0.2923032343387604,0.3158133327960968,5
1,2,0.2724294066429138,0.30188265442848206,9
1,3,0.24722738564014435,0.2991970181465149,8
1,4,0.24707479774951935,0.2904556542634964,8
1,5,0.24696104228496552,0.2787497937679291,10
1,6,0.23539258539676666,0.26787056028842926,14
1,7,0.2328357845544815,0.2612917423248291,15
1,8,0.23138520121574402,0.26220400631427765,14
1,9,0.23096375167369843,0.25510016083717346,17
2,0,0.30481722950935364,0.3708677291870117,5
2,1,0.30481722950935364,0.35999563336372375,5
2,2,0.3004242777824402,0.33883631229400635,6
2,3,0.28876426815986633,0.31819237768650055,8
2,4,0.28045207262039185,0.30884310603141785,12
2,5,0.2759806513786316,0.3026093542575836,12
2,6,0.2660497725009918,0.30479443073272705,13
2,7,0.26471713185310364,0.28532546758651733,15
2,8,0.26471713185310364,0.28967908024787903,13
2,9,0.24517016112804413,0.2825883626937866,14
