iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.10168789078791936,369.97802734375,,8000,8000,10000,,
1,0.1293518766760826,221.03941345214844,369.9852600097656,11423,10000,3423,20,0
2,0.12330010036627452,446.1640319824219,221.13821411132812,14285,10000,2862,20,0
3,0.12342597295840581,433.71929931640625,447.4625549316406,17491,10000,3206,20,0
4,0.11882405976454417,1049.258056640625,371.0545654296875,20566,10000,3075,20,0
5,0.11989977210760117,885.7900390625,1544.0504150390625,31782,10000,11216,20,0
6,0.12614013999700546,948.7195434570312,894.0850830078125,37582,10000,5800,20,0
7,0.13107231756051382,442.58135986328125,953.4330444335938,43712,10000,6130,20,0
8,0.13095173984766006,933.7380981445312,441.7813415527344,46776,10000,3064,20,0
9,0.14580045143763223,389.2371520996094,984.6344604492188,52949,10000,6173,20,0
