action_index,position,expression,length,operon_mse,validation_mse
0,0,(0.092502 + (0.611869 * ((-2.271060) * X3))),5,0.2867927849292755,0.010634220205247402
0,1,(0.103760 + (0.741476 * tanh(((-18.708189) * X3)))),6,0.19517719745635986,0.013413460925221443
0,2,(0.113613 + (0.825438 * (tanh(((-15.387848) * X3)) - (0.562201 * X1)))),8,0.16139841079711914,4.340684302288159e+17
0,3,(0.124928 + (1.164052 * ((tanh(((-12.386525) * X3)) + ((-1.148344) * X2)) - (0.449766 * X1)))),10,0.1464211642742157,5.5248854695962214e+17
0,4,(0.126680 + (1.149288 * (((tanh(((-14.104942) * X3)) - (0.447838 * X1)) - tanh((0.657740 * X2))) - tanh((0.738219 * X2))))),14,0.14591149985790253,5.3395531640078336e+17
0,5,((-0.006305) + (1.084325 * (((tanh(((-15.111909) * X3)) + (((-0.397703) * X1) - (-0.126608))) + (((-0.449780) * X1) / (sqrt(1 + (659.764465 * X6) ^ 2)))) - tanh((1.054917 * X2))))),17,0.14435026049613953,8.151365517081313e+17
0,6,(0.056852 + (0.619303 * (((tanh(((-14.869590) * X3)) - tanh((2.146986 * X2))) + (((-0.487127) * X1) - (-0.112653))) - ((tanh((10.738706 * X3)) + tanh((0.274904 * X7))) - ((-0.284205) * X6))))),21,0.14357112348079681,1.834408363509678e+17
