iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0005635039415210485,2972.62158203125,,8000,8000,10000,,
1,0.005787578411400318,273.4110412597656,3420.6484375,15338,10000,7338,20,0
2,0.001677661668509245,400.3124694824219,280.8689880371094,15966,10000,628,20,0
3,0.0014901013346388936,478.7793884277344,402.5777282714844,16853,10000,887,20,0
4,0.001917455461807549,2448.372802734375,480.9887390136719,17908,10000,1055,20,0
5,0.001720427768304944,659.1254272460938,2736.058349609375,23783,10000,5875,20,0
6,0.002818214939907193,1045.9984130859375,648.5391845703125,25197,10000,1414,20,0
7,0.0020869323052465916,1922.2398681640625,1054.2900390625,27481,10000,2284,20,0
8,0.0022548914421349764,1313.5374755859375,1930.6343994140625,31638,10000,4157,20,0
9,0.0029881810769438744,1777.602783203125,1308.5540771484375,34465,10000,2827,20,0
