generation,best_fitness,elapsed
000,[-0.4589977],3.014
001,[-0.4589977],0.840
002,[-0.4589977],0.806
003,[-0.4589977],0.880
004,[-0.4589977],0.833
005,[-0.4589977],0.799
006,[-0.4589977],0.801
007,[-0.4589977],0.792
008,[-0.4589977],0.836
009,[-0.4589977],0.806
010,[-0.4589977],0.808
011,[-0.4589977],0.818
012,[-0.4589977],0.880
013,[-0.4589977],0.869
014,[-0.4589977],0.991
015,[-0.4589977],1.316
016,[-0.4589977],1.135
017,[-0.4589977],1.194
018,[-0.4589977],1.317
019,[-0.4589977],1.098
020,[-0.4589977],1.120
021,[-0.4589977],0.974
022,[-0.4589977],1.112
023,[-0.4589977],1.059
024,[-0.4589977],1.079
025,[-0.4589977],1.060
026,[-0.4589977],1.118
027,[-0.4589977],0.964
028,[-0.4589977],1.089
029,[-0.4589977],1.149
030,[-0.4589977],0.956
031,[-0.4589977],1.067
032,[-0.4589977],0.944
033,[-0.4589977],1.158
034,[-0.4589977],1.065
035,[-0.4589977],0.856
036,[-0.4589977],0.828
037,[-0.4589977],0.803
038,[-0.4589977],0.822
039,[-0.4589977],0.859
040,[-0.4589977],0.832
041,[-0.4589977],0.830
042,[-0.4589977],0.789
043,[-0.42797342],0.798
044,[-0.42797342],0.802
045,[-0.42797342],0.963
046,[-0.42797342],0.994
047,[-0.42797342],1.073
048,[-0.42797342],1.151
049,[-0.42797342],1.177
050,[-0.42797342],1.179
051,[-0.42797342],1.010
052,[-0.42797342],0.843
053,[-0.419785],0.821
054,[-0.419785],0.806
055,[-0.419785],0.797
056,[-0.419785],0.812
057,[-0.419785],0.808
058,[-0.419785],0.822
059,[-0.419785],0.822
060,[-0.419785],0.817
061,[-0.419785],0.839
062,[-0.419785],0.816
063,[-0.419785],0.818
064,[-0.41771555],0.840
065,[-0.41771555],0.783
066,[-0.41771555],0.788
067,[-0.41771555],0.816
068,[-0.41771555],0.796
069,[-0.41771555],0.819
070,[-0.41771555],0.807
071,[-0.41771555],0.799
072,[-0.41771555],0.827
073,[-0.41771555],0.884
074,[-0.41771555],1.009
075,[-0.41771555],1.165
076,[-0.41771555],1.010
077,[-0.41771555],0.999
078,[-0.41771555],1.038
079,[-0.41771555],1.018
080,[-0.41771555],1.141
081,[-0.41771555],1.111
082,[-0.41771555],1.120
083,[-0.41771555],0.818
084,[-0.41771555],0.820
085,[-0.41771555],0.815
086,[-0.41771555],0.811
087,[-0.41771555],0.832
088,[-0.41771555],0.810
089,[-0.41771555],0.823
090,[-0.41771555],0.803
091,[-0.41771555],0.809
092,[-0.41771555],0.819
093,[-0.41771555],0.824
094,[-0.41771555],0.828
095,[-0.41771555],0.803
096,[-0.41771555],0.828
097,[-0.41771555],0.836
098,[-0.41771555],0.830
099,[-0.41771555],0.801
100,[-0.41771555],0.829
101,[-0.41771555],0.812
102,[-0.41771555],0.817
103,[-0.41771555],0.835
104,[-0.41771555],0.823
105,[-0.41771555],0.806
106,[-0.41771555],0.804
107,[-0.41771555],0.830
108,[-0.41771555],0.826
109,[-0.41771555],0.812
110,[-0.41771555],0.824
111,[-0.41771555],0.810
112,[-0.41771555],0.838
113,[-0.41771555],0.841
114,[-0.41771555],0.810
115,[-0.41771555],0.799
116,[-0.41771555],0.819
117,[-0.41771555],1.064
