generation,best_fitness,elapsed
000,[0.79655415],4.396
001,[0.79655415],1.122
002,[0.79655415],1.045
003,[0.79655415],1.082
004,[0.79655415],1.160
005,[0.79655415],1.102
006,[0.79655415],1.216
007,[0.79655415],1.328
008,[0.79655415],1.074
009,[0.79655415],1.060
010,[0.79655415],1.079
011,[0.79655415],1.135
012,[0.79655415],1.066
013,[0.79655415],1.059
014,[0.79655415],1.052
015,[0.79655415],0.914
016,[0.79655415],0.945
017,[0.79655415],0.842
018,[0.79655415],0.834
019,[0.79655415],0.790
020,[0.79655415],0.831
021,[0.79655415],0.807
022,[0.79655415],0.816
023,[0.79655415],0.818
024,[0.79655415],0.832
025,[0.79655415],0.800
026,[0.79668355],0.815
027,[0.79668355],0.804
028,[0.79668355],0.817
029,[0.7985433],0.837
030,[0.7985433],0.802
031,[0.7985433],0.817
032,[0.7985433],0.806
033,[0.7985433],0.819
034,[0.7985433],0.834
035,[0.7985433],0.812
036,[0.7985433],0.810
037,[0.7985433],0.829
038,[0.7985433],0.820
039,[0.7985433],0.872
040,[0.7985433],1.072
041,[0.7985433],0.939
042,[0.7985433],0.842
043,[0.7985433],0.972
044,[0.7985433],0.909
045,[0.7985433],1.124
046,[0.7985433],1.096
047,[0.7985433],1.165
048,[0.7985433],0.927
049,[0.7985433],0.985
050,[0.7985433],0.910
051,[0.7985433],0.924
052,[0.7985433],0.820
053,[0.7985433],0.811
054,[0.7985433],0.816
055,[0.7985433],0.801
056,[0.7985433],0.810
057,[0.7985433],0.799
058,[0.7985433],0.788
059,[0.7985433],0.809
060,[0.7985433],0.816
061,[0.7985433],0.816
062,[0.7985433],0.811
063,[0.7985433],0.821
064,[0.7985433],0.810
065,[0.7985433],0.833
066,[0.7985433],0.805
067,[0.7985433],0.800
068,[0.7985433],0.789
069,[0.7985433],0.814
070,[0.7985433],0.799
071,[0.7985433],0.838
072,[0.7985433],0.826
073,[0.7985433],0.841
074,[0.7985433],0.804
075,[0.7985433],0.821
076,[0.7985433],1.015
077,[0.7985433],0.908
078,[0.7985433],0.896
079,[0.7985433],0.832
080,[0.7985433],0.812
081,[0.7993437],0.820
082,[0.7993437],0.800
083,[0.7993437],0.828
084,[0.7993437],0.812
085,[0.7993437],0.823
086,[0.7993437],0.822
087,[0.7993437],0.799
088,[0.7993437],0.809
089,[0.7993437],0.836
090,[0.7993437],0.815
091,[0.7993437],0.840
092,[0.7993437],0.810
093,[0.7993437],0.831
094,[0.7993437],0.809
095,[0.7993437],0.820
096,[0.7993437],0.825
097,[0.7993437],0.810
098,[0.7993437],0.807
099,[0.7993437],0.794
100,[0.7993437],0.827
101,[0.7993437],0.842
102,[0.7993437],0.810
103,[0.7993437],0.823
104,[0.7993437],0.828
105,[0.7993437],0.829
106,[0.7993437],0.809
107,[0.7993437],0.852
108,[0.7993437],0.800
109,[0.7993437],0.835
110,[0.7993437],0.821
111,[0.7993437],0.832
112,[0.7993437],0.823
113,[0.7993437],0.817
114,[0.7993437],0.837
115,[0.7993437],1.043
116,[0.7993437],0.906
117,[0.7993437],0.924
118,[0.7993437],0.797
119,[0.7993437],0.825
120,[0.7993437],0.815
121,[0.7993437],0.801
122,[0.7993437],0.824
123,[0.7993437],0.818
124,[0.7993437],0.835
125,[0.7993437],0.820
126,[0.7993437],0.808
127,[0.7993437],0.816
128,[0.7993437],0.817
129,[0.7993437],0.829
130,[0.7993437],0.826
131,[0.7993437],0.822
132,[0.7993437],0.829
133,[0.7993437],0.837
134,[0.7993437],0.820
135,[0.7993437],0.802
136,[0.7993437],0.826
137,[0.7993437],0.834
138,[0.7993437],0.840
139,[0.7993437],0.807
140,[0.7993437],0.809
141,[0.7993437],0.818
142,[0.7993437],0.836
143,[0.7993437],0.837
144,[0.7993437],0.820
145,[0.7993437],0.820
