generation,best_fitness,elapsed
000,[-0.49268693],2.209
001,[-0.46509266],0.881
002,[-0.46509266],0.986
003,[-0.46509266],0.951
004,[-0.43908265],0.998
005,[-0.43908265],0.877
006,[-0.43908265],1.061
007,[-0.43908265],0.899
008,[-0.43908265],0.992
009,[-0.43908265],0.940
010,[-0.43908265],1.059
011,[-0.43081585],1.320
012,[-0.43081585],1.158
013,[-0.43081585],1.211
014,[-0.43081585],1.156
015,[-0.43081585],1.052
016,[-0.4255205],0.877
017,[-0.4255205],0.887
018,[-0.4255205],0.873
019,[-0.4255205],0.890
020,[-0.4255205],0.975
021,[-0.4255205],0.947
022,[-0.4255205],0.965
023,[-0.4255205],0.873
024,[-0.4255205],0.896
025,[-0.4255205],0.878
026,[-0.4255205],1.197
027,[-0.4255205],1.027
028,[-0.4255205],0.901
029,[-0.4255205],0.909
030,[-0.4255205],0.877
031,[-0.4255205],0.939
032,[-0.4255205],0.976
033,[-0.4255205],1.005
034,[-0.4255205],0.988
035,[-0.4255205],0.895
036,[-0.4255205],0.924
037,[-0.4255205],1.001
038,[-0.4255205],0.950
039,[-0.4255205],0.996
040,[-0.4255205],0.882
041,[-0.4255205],1.135
042,[-0.4255205],1.065
043,[-0.4255205],0.877
044,[-0.4255205],0.901
045,[-0.4255205],1.018
046,[-0.4255205],0.999
047,[-0.4255205],0.969
048,[-0.4255205],1.020
049,[-0.4255205],0.980
050,[-0.4255205],1.021
051,[-0.4255205],0.953
052,[-0.4255205],1.009
053,[-0.4255205],0.995
054,[-0.4255205],0.889
055,[-0.4255205],0.940
056,[-0.4255205],1.058
057,[-0.4190836],1.215
058,[-0.4190836],1.219
059,[-0.4190836],1.240
060,[-0.4190836],1.193
061,[-0.4190836],1.228
062,[-0.4190836],1.158
063,[-0.4190836],1.051
064,[-0.4190836],0.981
065,[-0.4190836],0.901
066,[-0.4190836],0.969
067,[-0.4190836],1.202
068,[-0.4190836],1.106
069,[-0.4190836],1.197
070,[-0.4190836],1.207
071,[-0.4190836],1.130
072,[-0.4190836],0.962
073,[-0.4190836],0.883
074,[-0.4190836],0.914
075,[-0.4190836],0.914
076,[-0.4190836],1.003
077,[-0.4190836],1.035
078,[-0.4190836],0.994
079,[-0.4190836],1.015
080,[-0.4190836],0.990
081,[-0.4190836],0.989
082,[-0.4190836],0.984
083,[-0.4190836],0.897
084,[-0.4190836],0.894
085,[-0.4190836],1.235
086,[-0.4190836],1.049
087,[-0.4190836],0.862
088,[-0.4190836],0.882
089,[-0.4190836],1.027
090,[-0.4190836],0.863
091,[-0.4190836],0.891
092,[-0.4190836],1.004
093,[-0.4190836],0.989
094,[-0.4190836],0.973
095,[-0.4190836],0.913
096,[-0.4190836],0.906
097,[-0.4190836],0.992
098,[-0.4190836],0.942
099,[-0.4190836],1.012
100,[-0.4190836],0.948
101,[-0.4190836],1.206
102,[-0.4190836],1.028
103,[-0.4190836],1.071
104,[-0.4190836],0.957
105,[-0.4190836],1.008
