generation,best_fitness,elapsed
000,[-0.43081585],2.208
001,[-0.43081585],0.959
002,[-0.42905053],0.882
003,[-0.42905053],0.921
004,[-0.42905053],0.900
005,[-0.42905053],0.902
006,[-0.42905053],1.022
007,[-0.42905053],1.075
008,[-0.42905053],1.236
009,[-0.42905053],1.233
010,[-0.42905053],1.221
011,[-0.42905053],1.151
012,[-0.42905053],0.847
013,[-0.42905053],0.864
014,[-0.42905053],0.992
015,[-0.42905053],1.020
016,[-0.42905053],1.061
017,[-0.42905053],0.885
018,[-0.42905053],1.015
019,[-0.42905053],0.995
020,[-0.42905053],0.974
021,[-0.42905053],1.046
022,[-0.42905053],1.183
023,[-0.42905053],1.063
024,[-0.42905053],0.973
025,[-0.42905053],0.883
026,[-0.42905053],0.917
027,[-0.42905053],0.894
028,[-0.427008],0.899
029,[-0.427008],0.896
030,[-0.42469522],0.892
031,[-0.42469522],0.997
032,[-0.42469522],1.005
033,[-0.42469522],0.984
034,[-0.42469522],1.008
035,[-0.42469522],1.008
036,[-0.42469522],0.884
037,[-0.42469522],1.154
038,[-0.42469522],1.082
039,[-0.42469522],1.053
040,[-0.42469522],0.853
041,[-0.42469522],0.929
042,[-0.42469522],1.017
043,[-0.42469522],0.967
044,[-0.42469522],0.867
045,[-0.42469522],0.996
046,[-0.42469522],0.868
047,[-0.42469522],0.918
048,[-0.42469522],1.017
049,[-0.42469522],0.891
050,[-0.42469522],0.888
051,[-0.42026672],0.999
052,[-0.42026672],0.909
053,[-0.42026672],1.250
054,[-0.42026672],1.234
055,[-0.42026672],0.976
056,[-0.42026672],0.973
057,[-0.42026672],0.984
058,[-0.42026672],0.913
059,[-0.42026672],0.915
060,[-0.42026672],0.974
061,[-0.42026672],0.964
062,[-0.42026672],0.978
063,[-0.42026672],0.876
064,[-0.42026672],0.998
065,[-0.42026672],1.005
066,[-0.42026672],0.987
067,[-0.42026672],1.011
068,[-0.42026672],1.256
069,[-0.42026672],1.091
070,[-0.42026672],0.874
071,[-0.42026672],1.035
072,[-0.42026672],0.904
073,[-0.42026672],0.999
074,[-0.42026672],0.978
075,[-0.42026672],0.994
076,[-0.42026672],0.903
077,[-0.42026672],0.977
078,[-0.42026672],0.988
079,[-0.42026672],1.014
080,[-0.42026672],0.964
081,[-0.42026672],0.884
082,[-0.42026672],0.882
083,[-0.42026672],1.161
084,[-0.42026672],1.052
085,[-0.42026672],0.994
086,[-0.42026672],0.886
087,[-0.42026672],3.987
088,[-0.42026672],0.958
089,[-0.42026672],0.940
090,[-0.42026672],0.967
091,[-0.42026672],0.915
092,[-0.42026672],0.943
093,[-0.42026672],0.964
094,[-0.42026672],0.959
095,[-0.42026672],0.909
096,[-0.42026672],1.166
097,[-0.42026672],1.080
098,[-0.42026672],0.871
099,[-0.42026672],0.911
100,[-0.42026672],1.000
101,[-0.42026672],0.883
102,[-0.42026672],0.923
103,[-0.42026672],0.895
104,[-0.42026672],0.902
105,[-0.42026672],0.915
106,[-0.42026672],1.016
107,[-0.42026672],0.957
108,[-0.42026672],0.989
109,[-0.42026672],0.862
110,[-0.42026672],0.981
111,[-0.42026672],1.136
112,[-0.42026672],1.115
113,[-0.42026672],0.984
114,[-0.42026672],0.987
115,[-0.42026672],0.855
116,[-0.42026672],0.975
117,[-0.42026672],0.964
118,[-0.42026672],0.945
119,[-0.42026672],0.959
120,[-0.42026672],0.875
121,[-0.42026672],0.888
122,[-0.42026672],0.901
123,[-0.42026672],1.019
124,[-0.42026672],0.958
125,[-0.42026672],1.032
126,[-0.42026672],0.891
127,[-0.42026672],1.110
128,[-0.42026672],1.037
129,[-0.42026672],0.999
130,[-0.42026672],0.980
131,[-0.42026672],1.067
132,[-0.42026672],0.900
133,[-0.42026672],1.027
134,[-0.42026672],1.002
135,[-0.42026672],0.956
136,[-0.42026672],1.172
137,[-0.42026672],1.276
138,[-0.42026672],1.274
139,[-0.42026672],1.165
140,[-0.42026672],1.072
141,[-0.42026672],1.282
142,[-0.42026672],1.142
143,[-0.42026672],1.079
144,[-0.42026672],0.990
145,[-0.42026672],0.926
146,[-0.42026672],0.967
147,[-0.42026672],0.966
148,[-0.42026672],0.874
149,[-0.42026672],0.900
150,[-0.42026672],0.896
151,[-0.42026672],0.908
152,[-0.42026672],0.925
153,[-0.42026672],0.996
154,[-0.42026672],0.958
155,[-0.42026672],1.007
156,[-0.42026672],1.174
157,[-0.42026672],1.076
158,[-0.42026672],0.983
159,[-0.42026672],1.005
160,[-0.42026672],0.991
161,[-0.42026672],0.988
162,[-0.42026672],0.892
163,[-0.42026672],0.909
164,[-0.42026672],0.897
165,[-0.42026672],0.929
166,[-0.42026672],1.017
167,[-0.42026672],1.021
168,[-0.42026672],0.998
169,[-0.42026672],0.876
170,[-0.42026672],0.933
171,[-0.42026672],1.240
172,[-0.42026672],1.063
173,[-0.42026672],0.887
174,[-0.42026672],0.881
175,[-0.42026672],0.905
176,[-0.42026672],1.041
177,[-0.42026672],0.926
178,[-0.41742155],0.987
179,[-0.41742155],0.939
180,[-0.41742155],0.988
181,[-0.41742155],0.889
182,[-0.41742155],0.991
183,[-0.41742155],0.982
184,[-0.41742155],0.865
185,[-0.41742155],0.952
186,[-0.41742155],1.081
187,[-0.41742155],1.258
188,[-0.41742155],1.131
189,[-0.41742155],0.910
190,[-0.41742155],1.013
191,[-0.41742155],1.005
192,[-0.41742155],0.988
193,[-0.41742155],1.004
194,[-0.41742155],1.008
195,[-0.41742155],1.006
196,[-0.41742155],1.074
197,[-0.41742155],0.958
198,[-0.41742155],0.998
199,[-0.41742155],0.935
200,[-0.41742155],1.114
201,[-0.41742155],1.245
202,[-0.41742155],1.186
203,[-0.41742155],1.101
204,[-0.41742155],0.970
205,[-0.41742155],0.954
206,[-0.41742155],0.967
207,[-0.41742155],1.015
208,[-0.41742155],0.862
209,[-0.41742155],1.010
210,[-0.41742155],1.016
211,[-0.41742155],0.965
212,[-0.41742155],0.985
213,[-0.41742155],0.862
214,[-0.41742155],0.893
215,[-0.41742155],0.896
216,[-0.41742155],1.253
217,[-0.41742155],0.976
218,[-0.41742155],0.872
219,[-0.41742155],0.910
220,[-0.41742155],0.869
221,[-0.41742155],1.027
222,[-0.41742155],0.945
223,[-0.41742155],0.955
224,[-0.41742155],0.899
225,[-0.41742155],0.867
226,[-0.41742155],1.012
227,[-0.41742155],0.895
228,[-0.41742155],0.899
229,[-0.41742155],0.996
230,[-0.41742155],0.888
231,[-0.41742155],0.921
232,[-0.41742155],1.225
233,[-0.41742155],1.165
234,[-0.41742155],1.064
235,[-0.41742155],0.868
236,[-0.41742155],1.000
237,[-0.41742155],0.954
238,[-0.41742155],0.986
239,[-0.41742155],0.863
240,[-0.41742155],0.971
241,[-0.41742155],0.975
242,[-0.41742155],0.974
243,[-0.41742155],0.869
244,[-0.41742155],0.890
245,[-0.41742155],0.924
246,[-0.41742155],0.866
247,[-0.41742155],1.161
248,[-0.41742155],1.071
249,[-0.41742155],0.987
250,[-0.41742155],0.884
251,[-0.41742155],0.873
252,[-0.41742155],0.948
253,[-0.41742155],0.992
254,[-0.41742155],0.955
255,[-0.41742155],0.961
256,[-0.41742155],0.867
257,[-0.41742155],1.046
258,[-0.41742155],0.993
259,[-0.41742155],0.977
260,[-0.41742155],0.886
261,[-0.41742155],0.888
262,[-0.41742155],0.887
263,[-0.41742155],1.171
264,[-0.41742155],1.079
265,[-0.41742155],0.965
266,[-0.41742155],0.968
267,[-0.41742155],0.945
268,[-0.41742155],0.953
269,[-0.41742155],0.976
270,[-0.41742155],0.900
271,[-0.41742155],1.009
272,[-0.41742155],0.950
273,[-0.41742155],0.885
274,[-0.41742155],0.909
275,[-0.41742155],0.868
276,[-0.41742155],0.904
277,[-0.41742155],0.902
278,[-0.41742155],0.909
279,[-0.41742155],1.216
280,[-0.41742155],1.119
281,[-0.41742155],0.864
282,[-0.41742155],0.905
283,[-0.41742155],0.892
