generation,best_fitness,elapsed
000,[0.7965542],2.107
001,[0.7965542],0.969
002,[0.7965542],0.880
003,[0.7965542],0.882
004,[0.7965542],0.939
005,[0.7965542],0.958
006,[0.7965542],0.984
007,[0.7965542],0.900
008,[0.7965542],0.978
009,[0.7965542],0.977
010,[0.7965542],0.886
011,[0.7965542],0.869
012,[0.7965542],0.893
013,[0.7965542],1.032
014,[0.7965542],1.235
015,[0.7965542],1.225
016,[0.79655445],1.166
017,[0.79655457],1.042
018,[0.7965546],1.137
019,[0.7968866],1.050
020,[0.7968866],0.946
021,[0.7968867],0.844
022,[0.7968886],0.904
023,[0.7968886],1.011
024,[0.7968886],1.066
025,[0.7968886],1.183
026,[0.7968886],1.194
027,[0.7968886],1.183
028,[0.7968886],1.209
029,[0.7968886],1.195
030,[0.7968886],1.211
031,[0.7968886],1.199
032,[0.7969016],1.151
033,[0.7969016],1.192
034,[0.7969016],1.164
035,[0.7969016],1.215
036,[0.796911],1.210
037,[0.796911],1.220
038,[0.796911],1.264
039,[0.796911],1.170
040,[0.7974149],1.203
041,[0.7976447],1.201
042,[0.81857544],1.237
043,[0.81857544],1.141
044,[0.81857544],1.213
045,[0.81897354],1.179
046,[0.81897354],1.176
047,[0.81897354],1.227
048,[0.81897354],1.235
049,[0.81897354],1.195
050,[0.81897354],1.218
051,[0.81897354],1.184
052,[0.81897354],1.233
053,[0.81897354],1.202
054,[0.81897354],1.224
055,[0.81897354],1.202
056,[0.81897354],1.188
057,[0.81897354],1.216
058,[0.81897354],1.195
059,[0.81897354],1.179
060,[0.81897354],1.187
061,[0.81897354],1.212
062,[0.8214908],1.200
063,[0.8215873],1.220
064,[0.82192206],1.305
065,[0.82200944],1.187
066,[0.82200944],1.248
067,[0.82200944],1.157
068,[0.82200944],1.226
069,[0.8231307],1.170
070,[0.8231307],1.254
071,[0.8355355],1.146
072,[0.83796245],1.217
073,[0.83796245],1.213
074,[0.8406222],3.072
075,[0.8406222],1.298
076,[0.8406222],1.232
077,[0.8406222],1.184
078,[0.8406222],1.218
079,[0.8406222],1.268
080,[0.8406222],1.212
081,[0.8410257],1.190
082,[0.8410257],1.209
083,[0.8410257],1.182
084,[0.8410257],1.144
085,[0.8410257],0.953
086,[0.8410257],0.882
087,[0.8410257],0.875
088,[0.8410257],1.107
089,[0.8410257],1.095
090,[0.8410257],1.000
091,[0.8410257],0.972
092,[0.8410257],0.883
093,[0.8410257],0.920
094,[0.8410257],1.011
095,[0.8410257],1.001
096,[0.8410257],0.849
097,[0.8410257],0.897
098,[0.8410257],0.908
099,[0.84112775],0.896
100,[0.84765404],0.901
101,[0.84765404],0.869
102,[0.84765404],0.871
103,[0.84765404],1.114
104,[0.84765404],1.271
105,[0.84765404],1.189
106,[0.84765404],1.259
107,[0.84765404],1.171
108,[0.84765404],1.188
109,[0.84765404],1.159
