seed,best_fitness,active_size,mean_return,std_return,best_return,worst_return
2,[0.85415864],0.16,1000.0,0.0,1000.0,1000.0
3,[0.8535607],0.24,69.5,3.3541019662496847,74.0,65.0
4,[0.85680485],0.24,138.0,14.463747785411636,167.0,126.0
5,[0.8544269],0.28,179.4,54.633689240248096,256.0,115.0
6,[0.8538751],0.17999999,41.4,12.265398485169571,63.0,25.0
7,[0.86304826],0.24,1000.0,0.0,1000.0,1000.0
8,[0.8478052],0.16,84.7,10.8816359064251,107.0,70.0
9,[0.86257243],0.29999998,1000.0,0.0,1000.0,1000.0
