generation,best_fitness,elapsed
000,[-0.4589977],2.342
001,[-0.4589977],1.401
002,[-0.4589977],1.233
003,[-0.4589977],1.190
004,[-0.4589977],1.229
005,[-0.4589977],1.082
006,[-0.42020807],0.933
007,[-0.42020807],0.986
008,[-0.42020807],0.879
009,[-0.42020807],1.005
010,[-0.42020807],0.944
011,[-0.42020807],0.973
012,[-0.42020807],0.860
013,[-0.42020807],0.900
014,[-0.42020807],0.891
015,[-0.42020807],0.875
016,[-0.42020807],1.138
017,[-0.42020807],1.051
018,[-0.42020807],0.874
019,[-0.42020807],0.877
020,[-0.42020807],0.885
021,[-0.42020807],0.920
022,[-0.42020807],0.869
023,[-0.42020807],0.970
024,[-0.42020807],1.024
025,[-0.42020807],0.854
026,[-0.42020807],0.870
027,[-0.42020807],1.058
028,[-0.42020807],0.874
029,[-0.42020807],0.879
030,[-0.42020807],0.961
031,[-0.42020807],0.951
032,[-0.40752918],1.089
033,[-0.40752918],0.999
034,[-0.40752918],0.998
035,[-0.40752918],0.869
036,[-0.40752918],0.904
037,[-0.40752918],1.007
038,[-0.40752918],0.940
039,[-0.40752918],0.963
040,[-0.40752918],0.886
041,[-0.40752918],1.004
042,[-0.40752918],0.941
043,[-0.40752918],0.992
044,[-0.40752918],0.876
045,[-0.40752918],0.888
046,[-0.40752918],0.891
047,[-0.40752918],1.152
048,[-0.40752918],1.246
049,[-0.40752918],1.066
050,[-0.40752918],0.885
051,[-0.40752918],0.863
052,[-0.40752918],1.003
053,[-0.40752918],0.945
054,[-0.40752918],0.974
055,[-0.40752918],0.878
056,[-0.40752918],0.860
057,[-0.40752918],0.892
058,[-0.40752918],1.027
059,[-0.40752918],0.970
060,[-0.40752918],1.002
061,[-0.40752918],0.890
062,[-0.40752918],0.932
063,[-0.40752918],1.186
064,[-0.40752918],1.115
065,[-0.40752918],1.114
066,[-0.40752918],1.066
067,[-0.40752918],0.937
068,[-0.40752918],0.995
069,[-0.40752918],1.044
070,[-0.40752918],0.919
071,[-0.40752918],0.875
072,[-0.40752918],0.977
073,[-0.40752918],0.992
074,[-0.40752918],0.984
075,[-0.40752918],1.008
076,[-0.40752918],0.873
077,[-0.40752918],0.880
078,[-0.40752918],1.211
079,[-0.40752918],1.032
080,[-0.40752918],0.977
081,[-0.40752918],0.878
082,[-0.40752918],0.859
083,[-0.40752918],0.928
084,[-0.40752918],0.878
085,[-0.40752918],0.933
086,[-0.40752918],0.913
087,[-0.40752918],0.864
088,[-0.40752918],0.993
089,[-0.40752918],1.035
090,[-0.40752918],1.188
091,[-0.40752918],1.187
092,[-0.40752918],1.205
093,[-0.40752918],1.192
094,[-0.40752918],1.226
095,[-0.40752918],1.184
096,[-0.40752918],1.050
097,[-0.40752918],0.862
098,[-0.40752918],0.883
099,[-0.40752918],0.897
100,[-0.40752918],0.906
101,[-0.40752918],0.877
102,[-0.40752918],0.910
103,[-0.40752918],0.892
104,[-0.40752918],0.878
105,[-0.40752918],0.984
106,[-0.40752918],0.987
107,[-0.40752918],0.997
108,[-0.40752918],1.131
109,[-0.40752918],1.071
110,[-0.40752918],0.991
111,[-0.40752918],0.996
112,[-0.40752918],0.872
113,[-0.40752918],0.903
114,[-0.40752918],0.868
115,[-0.40752918],0.945
116,[-0.40752918],0.997
117,[-0.40752918],0.863
118,[-0.40752918],1.004
119,[-0.40752918],0.927
120,[-0.40752918],0.872
121,[-0.40752918],0.856
122,[-0.40752918],0.912
123,[-0.40752918],1.020
124,[-0.40752918],1.149
125,[-0.40752918],1.000
126,[-0.40752918],0.888
127,[-0.40752918],0.893
128,[-0.40752918],0.892
129,[-0.40752918],0.896
130,[-0.40752918],0.898
131,[-0.40752918],0.923
132,[-0.40752918],0.894
133,[-0.40752918],0.872
134,[-0.40752918],0.869
135,[-0.40752918],1.003
136,[-0.40752918],0.981
137,[-0.40752918],0.977
138,[-0.40752918],1.000
139,[-0.40752918],0.887
140,[-0.40752918],1.205
141,[-0.40752918],1.166
142,[-0.40752918],0.942
143,[-0.40752918],0.870
