seed,best_fitness,active_size,mean_return,std_return,best_return,worst_return
0,[-0.41846225],0.099999994,116.6,26.24957142507283,165.0,90.0
1,[-0.41251633],0.08,270.2,10.61885116196663,283.0,251.0
2,[-0.40475318],0.19999999,576.1,424.03713280796535,1000.0,138.0
3,[-0.4184755],0.099999994,77.3,17.776670104381193,113.0,58.0
4,[-0.41505906],0.099999994,55.8,6.910861017268398,73.0,49.0
5,[-0.4169074],0.06,109.5,11.403946685248927,130.0,94.0
6,[-0.37915453],0.099999994,266.3,10.742904635153382,284.0,251.0
7,[-0.3690627],0.08,572.4,56.4645021230153,673.0,509.0
8,[-0.41438672],0.099999994,72.0,7.252585745787498,81.0,61.0
9,[-0.40980607],0.04,1000.0,0.0,1000.0,1000.0
