generation,best_fitness,elapsed
000,[0.79655415],2.140
001,[0.79655415],0.885
002,[0.79655415],1.101
003,[0.79655415],1.263
004,[0.79655415],1.180
005,[0.80416137],1.219
006,[0.80416137],1.020
007,[0.8041616],0.869
008,[0.8041616],0.848
009,[0.8041616],0.842
010,[0.8041616],1.012
011,[0.8041616],1.082
012,[0.8041616],1.196
013,[0.8041616],1.118
014,[0.8041616],1.011
015,[0.8041616],0.869
016,[0.8041616],0.886
017,[0.8041616],1.109
018,[0.8041616],0.940
019,[0.8041616],0.848
020,[0.8041616],1.020
021,[0.8041616],0.872
022,[0.8041616],0.920
023,[0.8041616],0.888
024,[0.8041616],0.904
025,[0.8041616],1.000
026,[0.8041616],0.869
027,[0.8041616],0.881
028,[0.8041616],1.003
029,[0.8041616],0.972
030,[0.8041616],0.862
031,[0.8041616],0.985
032,[0.8041616],0.984
033,[0.8041616],1.162
034,[0.8041616],1.066
035,[0.8041616],0.980
036,[0.8041616],0.972
037,[0.8041616],0.981
038,[0.8041616],0.881
039,[0.8041616],0.894
040,[0.8041616],0.896
041,[0.8041616],0.879
042,[0.8041616],0.913
043,[0.8041616],0.883
044,[0.8041616],0.917
045,[0.8041616],0.891
046,[0.8041616],0.889
047,[0.8041616],0.998
048,[0.8041616],0.946
049,[0.8041616],1.083
050,[0.8041616],0.913
051,[0.8041616],0.903
052,[0.8046718],0.865
053,[0.8048016],0.910
054,[0.8048701],0.882
055,[0.80558443],0.921
056,[0.80558443],0.893
057,[0.80558443],0.891
058,[0.80558443],1.001
059,[0.80558443],0.857
060,[0.80558443],0.891
061,[0.80558443],0.867
062,[0.80558443],0.907
063,[0.80558443],0.867
064,[0.80558443],1.011
065,[0.80558443],0.975
066,[0.80558443],1.023
067,[0.8197926],0.864
068,[0.8197926],0.874
069,[0.8197926],0.973
070,[0.8197926],0.975
071,[0.8424905],0.982
072,[0.8424905],0.883
073,[0.8424905],0.958
074,[0.8424906],0.950
075,[0.8424906],0.977
076,[0.8424906],0.959
077,[0.8424906],0.886
078,[0.8424906],1.023
079,[0.8424906],1.048
080,[0.8424906],0.840
081,[0.8424906],1.103
082,[0.8424906],1.039
083,[0.8424906],0.965
084,[0.8424906],0.877
085,[0.8424906],0.968
086,[0.8424906],0.984
087,[0.8424906],0.979
088,[0.8424906],0.883
089,[0.8424906],0.919
090,[0.8424906],0.862
091,[0.8424906],0.955
092,[0.8424906],0.951
093,[0.8424906],0.953
094,[0.8424906],0.886
095,[0.8424906],1.005
096,[0.8424906],1.006
097,[0.8424906],1.209
098,[0.8424906],1.132
099,[0.8424906],1.038
100,[0.8424906],0.871
101,[0.8424906],0.912
102,[0.8424906],0.896
103,[0.8424906],0.907
104,[0.8424906],0.867
105,[0.8424906],0.962
106,[0.8424906],1.008
107,[0.8424906],0.954
108,[0.8424906],0.912
109,[0.8436561],0.880
110,[0.84366363],0.890
111,[0.84366363],0.914
112,[0.84366363],1.081
113,[0.84366363],0.946
114,[0.84366363],0.880
115,[0.84366363],0.884
116,[0.84366363],0.880
117,[0.84366363],1.000
118,[0.84366363],0.863
119,[0.84366363],0.888
120,[0.84366363],0.873
121,[0.84366363],0.889
122,[0.84366363],0.864
123,[0.84366363],3.384
124,[0.84366363],0.858
125,[0.84366363],0.856
126,[0.84366363],0.885
127,[0.84366363],0.855
128,[0.84366363],0.867
129,[0.84366363],0.901
130,[0.84366363],1.010
131,[0.84366363],0.981
132,[0.84366363],0.996
133,[0.84366363],0.935
134,[0.84366363],1.004
135,[0.84366363],0.872
136,[0.84366363],0.983
137,[0.84366363],1.014
138,[0.84366363],0.945
139,[0.84366363],1.004
140,[0.84366363],1.003
141,[0.84366363],0.862
142,[0.84366363],0.997
143,[0.84366363],0.966
144,[0.84366363],0.962
145,[0.84366363],0.941
146,[0.84366363],0.979
147,[0.84366363],0.865
148,[0.84366363],0.859
149,[0.84366363],0.990
150,[0.84366363],0.983
151,[0.84366363],0.862
152,[0.84366363],0.921
153,[0.84366363],0.869
154,[0.84366363],0.888
155,[0.84366363],0.892
156,[0.84366363],0.964
157,[0.84366363],0.965
158,[0.84366363],1.097
159,[0.84366363],0.923
160,[0.84366363],0.884
161,[0.84366363],0.913
162,[0.84366363],0.884
163,[0.84366363],0.903
164,[0.84366363],1.001
165,[0.84366363],0.979
166,[0.84366363],0.978
167,[0.84366363],0.941
168,[0.84366363],0.902
169,[0.84366363],0.886
170,[0.84366363],0.908
171,[0.84366363],0.870
172,[0.84366363],0.926
173,[0.84366363],0.879
174,[0.84366363],0.994
175,[0.84366363],0.938
176,[0.84366363],0.984
177,[0.8439046],0.981
178,[0.8439046],0.865
179,[0.8439046],0.917
180,[0.8439046],0.885
181,[0.8439046],0.876
182,[0.8439046],0.875
183,[0.8439046],0.979
184,[0.8463607],0.960
185,[0.8463607],0.977
186,[0.8463607],0.869
187,[0.8463607],1.018
188,[0.8463607],0.978
189,[0.8463607],0.852
190,[0.8463607],1.016
191,[0.8463607],1.140
192,[0.8463607],1.060
193,[0.8463607],0.881
194,[0.8463607],0.905
195,[0.8463607],0.902
196,[0.8463607],0.919
197,[0.8463607],0.896
198,[0.8463607],1.010
199,[0.8463607],1.003
200,[0.8463607],0.873
201,[0.8463607],0.952
202,[0.8463607],1.001
203,[0.8463607],0.976
204,[0.8463607],1.006
205,[0.8463607],0.978
206,[0.8463607],1.087
207,[0.8463607],0.916
208,[0.8463607],0.858
209,[0.8463607],0.985
210,[0.8463607],0.965
211,[0.8463607],0.863
212,[0.8463607],0.890
213,[0.8463607],0.874
214,[0.8463607],1.007
215,[0.8463607],0.964
216,[0.8463607],0.865
217,[0.8463607],0.883
218,[0.8463607],0.892
219,[0.8463607],0.964
220,[0.8463607],0.950
221,[0.8463607],0.967
222,[0.8463607],1.109
223,[0.8463607],1.030
224,[0.84762704],0.982
225,[0.84762704],1.000
226,[0.8490724],1.021
227,[0.8490724],0.867
228,[0.8490724],0.877
229,[0.8490724],0.974
230,[0.8490724],0.951
231,[0.8490724],1.011
232,[0.8490724],0.881
233,[0.85027635],1.042
234,[0.85027635],0.883
235,[0.85027635],0.892
236,[0.85027635],0.906
237,[0.85027635],1.029
238,[0.85027635],1.056
239,[0.85027635],0.948
240,[0.85027635],0.872
241,[0.85027635],0.912
242,[0.85027635],1.033
243,[0.8503289],0.965
244,[0.8503289],0.992
245,[0.8503289],0.906
246,[0.8503289],0.890
247,[0.8503289],0.895
248,[0.8503289],0.907
249,[0.8503289],0.996
250,[0.8503289],0.953
251,[0.8503289],0.959
252,[0.8503289],0.871
253,[0.8503289],1.076
254,[0.8503289],1.033
255,[0.8503289],0.975
256,[0.8503289],0.973
257,[0.8503289],0.992
258,[0.8503289],0.877
259,[0.8503289],0.913
260,[0.8503289],0.953
261,[0.8503289],0.967
262,[0.8503289],0.958
263,[0.8503289],0.889
264,[0.8503289],1.005
265,[0.8503289],1.045
266,[0.8503289],1.090
267,[0.8503289],0.925
268,[0.8503289],1.019
269,[0.8503289],0.967
270,[0.8503289],1.017
271,[0.8503289],0.854
272,[0.8503289],0.901
273,[0.8503289],1.003
274,[0.8503289],0.934
275,[0.8503289],0.964
276,[0.8503289],0.858
277,[0.8503289],0.883
278,[0.8503289],0.953
