generation,best_loss,median_loss,finite_fitness_fraction
0,0.0036643671337515116,0.0072354828007519245,1.0
1,0.0036643671337515116,0.004643588326871395,1.0
2,0.0036643671337515116,0.004116707947105169,1.0
3,0.0036643671337515116,0.0036643671337515116,1.0
4,0.0036643671337515116,0.0036643671337515116,1.0
5,0.0036643671337515116,0.0036643671337515116,1.0
6,0.0036643671337515116,0.0036643671337515116,1.0
7,0.0036643671337515116,0.0036643671337515116,1.0
8,0.0036643671337515116,0.0036643671337515116,1.0
9,0.0036643671337515116,0.0036643671337515116,1.0
10,0.0036643671337515116,0.0036643671337515116,1.0
11,0.0036643671337515116,0.0036643671337515116,1.0
12,0.0036643671337515116,0.0036643671337515116,1.0
13,0.0036643671337515116,0.0036643671337515116,1.0
14,0.0036643671337515116,0.0036643671337515116,1.0
15,0.0036643671337515116,0.0036643671337515116,1.0
16,0.0036643671337515116,0.0036643671337515116,1.0
17,0.0036643671337515116,0.0036643671337515116,1.0
18,0.0036643671337515116,0.0036643671337515116,1.0
19,0.0036643671337515116,0.0036643671337515116,1.0
20,0.0036643671337515116,0.0036643671337515116,1.0
21,0.0036643671337515116,0.0036643671337515116,1.0
22,0.0036643671337515116,0.0036643671337515116,1.0
23,0.0036643671337515116,0.0036643671337515116,1.0
24,0.0036643671337515116,0.0036643671337515116,1.0
25,0.0036643671337515116,0.0036643671337515116,1.0
26,0.0036643671337515116,0.0036643671337515116,1.0
27,0.0036643671337515116,0.0036643671337515116,1.0
28,0.0036643671337515116,0.0036643671337515116,1.0
29,0.0036643671337515116,0.0036643671337515116,1.0
30,0.0036643671337515116,0.0036643671337515116,1.0
31,0.0036643671337515116,0.0036643671337515116,1.0
32,0.0036643671337515116,0.0036643671337515116,1.0
33,0.0036643671337515116,0.0036643671337515116,1.0
34,0.0036643671337515116,0.0036643671337515116,1.0
35,0.0036643671337515116,0.0036643671337515116,1.0
36,0.003658302826806903,0.0036643671337515116,1.0
37,0.003641533898189664,0.0036643671337515116,1.0
38,0.003641533898189664,0.0036643671337515116,1.0
39,0.003641533898189664,0.0036643671337515116,1.0
40,0.003637822810560465,0.0036643671337515116,1.0
41,0.003627358004450798,0.0036643671337515116,1.0
42,0.003626422490924597,0.003653645981103182,1.0
43,0.0035996916703879833,0.003639501053839922,1.0
44,0.003595019457861781,0.0036325231194496155,1.0
45,0.003595019457861781,0.0036272509023547173,1.0
46,0.0035860168281942606,0.0036264779046177864,1.0
47,0.0035762775223702192,0.003626222489401698,1.0
48,0.0035757683217525482,0.0036142650060355663,1.0
49,0.0035757683217525482,0.0035875095054507256,1.0
