position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,9,0.00333047891035676,0.0032560979016125202,238.60000610351562,0.003290426917374134,0.003240772755816579,245.6999969482422,[]
1,8,0.0033283899538218975,0.0034289013128727674,231.90000915527344,0.003355159889906645,0.0032962411642074585,185.1999969482422,[]
2,7,0.0033252595458179712,0.003239136654883623,241.1999969482422,0.0033225214574486017,0.003239594167098403,230.10000610351562,[]
3,6,0.0033202888444066048,0.00322626787237823,243.0,0.0033263203222304583,0.003244800725951791,223.1999969482422,[]
4,5,0.0033189556561410427,0.0031782155856490135,238.0,0.0033292612060904503,0.003236857708543539,220.60000610351562,[]
5,4,0.003313424764201045,0.003397806780412793,223.1999969482422,0.0033347676508128643,0.003303596982732415,228.10000610351562,[]
6,3,0.0033027720637619495,0.0033223985228687525,271.1000061035156,0.0033375765196979046,0.0032787728123366833,214.3000030517578,[]
7,2,0.003300416050478816,0.003261907259002328,249.6999969482422,0.0033402119297534227,0.003266968997195363,254.10000610351562,[]
8,1,0.003277209587395191,0.003319203620776534,174.5,0.003336698282510042,0.0032672707457095385,192.6999969482422,[]
9,0,0.003237181343138218,0.0033030989579856396,251.3000030517578,0.0033282609656453133,0.003264352446421981,207.10000610351562,[]
