action_index,generation,best_loss,median_loss,candidate_count
0,0,0.0015183975920081139,0.0016342400922439992,4
0,1,0.0014061054680496454,0.001536504365503788,5
0,2,0.0011851951712742448,0.0015258584171533585,7
0,3,0.0011851951712742448,0.001524930470623076,7
0,4,0.0011851951712742448,0.0015213987790048122,7
0,5,0.0009506980422884226,0.0015289515140466392,6
0,6,0.0008767151739448309,0.001455004676245153,8
0,7,0.0008767151739448309,0.0013513671001419425,8
0,8,0.0008543530711904168,0.0011813354212790728,9
0,9,0.0008456821669824421,0.0009155860170722008,13
