iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples,architecture,seed,mode
0,295.2822265625,0.0761562138795852,0.0801167860627174,0.0761562138795852,0.0801167860627174,8000,45.813468219013885,,0,8000,shared,0,uniform
1,41.30888366699219,0.112965703010559,0.0983103662729263,0.112965703010559,0.0983103662729263,10590,42.427190656017046,293.0493469238281,0,2590,shared,0,uniform
2,690.1334838867188,0.1140794306993484,0.0976145192980766,0.1140794306993484,0.0976145192980766,11045,47.65370913996594,31.48930931091309,0,455,shared,0,uniform
3,2520.17431640625,0.166557639837265,0.096973605453968,0.166557639837265,0.096973605453968,16214,48.020681696012616,654.2605590820312,0,5169,shared,0,uniform
4,426.4089050292969,0.2053801417350769,0.1193708702921867,0.2053801417350769,0.1193708702921867,33653,54.17995025904384,2414.0087890625,0,17439,shared,0,uniform
5,419.2712097167969,0.2116114944219589,0.1351609379053115,0.2116114944219589,0.1351609379053115,36673,51.84413163899444,427.2259826660156,0,3020,shared,0,uniform
6,791.9380493164062,0.2063263952732086,0.1319262832403183,0.2063264101743698,0.1319262832403183,39639,49.20382262696512,426.5833129882813,0,2966,shared,0,uniform
7,404.5636291503906,0.2194010913372039,0.1227831915020942,0.2194010913372039,0.1227831915020942,45095,49.91795200202614,818.471923828125,0,5456,shared,0,uniform
8,404.2921447753906,0.2162564843893051,0.136559322476387,0.2162564843893051,0.136559322476387,48009,49.88414348399965,406.0600891113281,0,2914,shared,0,uniform
9,415.328125,0.226219356060028,0.1500593870878219,0.226219356060028,0.1500593870878219,50788,51.213770167029,405.5983276367188,0,2779,shared,0,uniform
0,168.4793701171875,0.0755421891808509,0.0792253911495208,0.0834639519453048,0.0880184918642044,8000,37.52884588198504,,0,8000,shared,0,q_dagger
1,1229.708984375,0.0754134878516197,0.0836661234498024,0.0989317223429679,0.0901964232325553,9751,39.68377149896696,169.8032684326172,0,1751,shared,0,q_dagger
2,652.4909057617188,0.1243661493062973,0.1081975549459457,0.1541076004505157,0.1096487641334533,18678,39.644551874022,1309.6483154296875,0,8927,shared,0,q_dagger
3,2923.233154296875,0.137858971953392,0.1130781099200248,0.1820581555366516,0.1208938211202621,23340,43.29081897903234,621.3895874023438,0,4662,shared,0,q_dagger
4,965.3981323242188,0.1797226220369339,0.1387244760990142,0.2113178521394729,0.1444398313760757,43340,48.19476658198983,2919.6953125,0,20000,shared,0,q_dagger
5,571.29443359375,0.1999554485082626,0.1554889529943466,0.2379460334777832,0.158440500497818,50142,50.27297127700877,940.1728515625,0,6802,shared,0,q_dagger
6,328.6451721191406,0.2075235247611999,0.1606249660253524,0.2368234544992447,0.1678628474473953,54276,51.921184903010726,572.9454345703125,0,4134,shared,0,q_dagger
7,1189.3074951171875,0.2140712291002273,0.1398003548383712,0.2452717423439026,0.1502132266759872,57230,50.152562935021706,328.2278137207031,0,2954,shared,0,q_dagger
8,936.4822387695312,0.2232274711132049,0.1531502902507782,0.2501055598258972,0.1648266017436981,64886,54.96552808803972,1190.4693603515625,0,7656,shared,0,q_dagger
9,735.671630859375,0.2264064699411392,0.1534437090158462,0.2386269867420196,0.1542904376983642,70846,58.12492695101537,931.3973999023438,0,5960,shared,0,q_dagger
0,892.8988647460938,0.0771335959434509,0.0737170130014419,0.0771335959434509,0.0737170130014419,8000,51.54665390402079,,0,8000,shared,1,uniform
1,463.1327209472656,0.1565686464309692,0.1021172627806663,0.1565686464309692,0.1021172627806663,13648,51.56687357102055,802.7421264648438,0,5648,shared,1,uniform
2,80.70317077636719,0.1800596565008163,0.0994106456637382,0.1800596714019775,0.0994106456637382,17619,56.78459591401042,513.2048950195312,0,3971,shared,1,uniform
3,128.2114715576172,0.1885905265808105,0.103543683886528,0.1885905265808105,0.103543683886528,18621,54.693060809979215,80.58599090576172,0,1002,shared,1,uniform
4,913.86474609375,0.1898333430290222,0.1080225706100463,0.1898333430290222,0.1080225706100463,19972,56.318427218997385,129.41957092285156,0,1351,shared,1,uniform
5,710.2522583007812,0.199144646525383,0.1124755144119262,0.1991446316242218,0.1124755144119262,25715,56.1897643719567,909.6477661132812,0,5743,shared,1,uniform
6,293.7194519042969,0.2102046757936477,0.1128148213028907,0.2102046757936477,0.1128148213028907,30018,55.12852687004488,704.1777954101562,0,4303,shared,1,uniform
7,965.537109375,0.2107674032449722,0.1158615425229072,0.2107674032449722,0.1158615425229072,32554,61.2975869649672,291.41461181640625,0,2536,shared,1,uniform
8,974.4913940429688,0.2193004339933395,0.1156641095876693,0.2193004339933395,0.1156641095876693,38285,50.34451128798537,924.61328125,0,5731,shared,1,uniform
9,1012.0402221679688,0.2295096516609192,0.1135850921273231,0.2295096516609192,0.1135850921273231,43958,49.62492386501981,938.7740478515624,0,5673,shared,1,uniform
0,57.234771728515625,0.0743812620639801,0.0731143727898597,0.0811579748988151,0.0778456553816795,8000,40.762131630966906,,0,8000,shared,1,q_dagger
1,267.166015625,0.078582689166069,0.077667124569416,0.1003376096487045,0.0827069580554962,8790,46.31760128901806,56.964576721191406,0,790,shared,1,q_dagger
2,152.6920928955078,0.0908011496067047,0.0890080630779266,0.1268335878849029,0.090149350464344,11548,37.891102548048366,261.6438903808594,0,2758,shared,1,q_dagger
3,390.8510437011719,0.1041013449430465,0.0989984720945358,0.15390145778656,0.1000914350152015,13316,47.20906077499967,153.2474822998047,0,1768,shared,1,q_dagger
4,812.7052001953125,0.126175120472908,0.1008985266089439,0.1909043341875076,0.1047138571739196,16836,45.11170085595222,400.40478515625,0,3520,shared,1,q_dagger
5,499.62109375,0.1582068353891372,0.1128666028380394,0.2299151718616485,0.1108744665980339,22500,43.46661788900383,804.7091674804688,0,5664,shared,1,q_dagger
6,967.0830078125,0.1716734915971756,0.1214290857315063,0.2389811128377914,0.1175293922424316,26053,45.00713847600855,532.3015747070312,0,3553,shared,1,q_dagger
7,917.8822631835938,0.1929718106985092,0.1209585219621658,0.262280136346817,0.1259460598230362,32042,45.7965454509831,931.7171020507812,0,5989,shared,1,q_dagger
8,1228.6458740234375,0.1934497207403183,0.1281152814626693,0.2526992261409759,0.1311397403478622,37529,49.25718557200162,916.7322387695312,0,5487,shared,1,q_dagger
9,485.2554626464844,0.2205436676740646,0.145692691206932,0.2657954692840576,0.156893715262413,43900,55.745867211022414,1108.15966796875,0,6371,shared,1,q_dagger
0,1175.3253173828125,0.0797283351421356,0.0804541483521461,0.0797283351421356,0.0804541483521461,8000,35.7149305010098,,0,8000,shared,2,uniform
1,372.8269958496094,0.162250816822052,0.124701865017414,0.1622508317232132,0.124701865017414,16442,38.87574992497685,1202.4482421875,0,8442,shared,2,uniform
2,831.3896484375,0.1734814792871475,0.1287390440702438,0.1734814792871475,0.1287390440702438,19155,37.66996187402401,372.9539489746094,0,2713,shared,2,uniform
3,489.7365417480469,0.1979573965072631,0.1281755119562149,0.1979573965072631,0.1281755119562149,24669,41.07487015798688,784.5955200195312,0,5514,shared,2,uniform
4,611.5551147460938,0.2136062234640121,0.1224183291196823,0.2136062234640121,0.1224183291196823,29290,40.53939332999289,610.88671875,0,4621,shared,2,uniform
5,653.23974609375,0.2153912782669067,0.119929015636444,0.2153912782669067,0.119929015636444,33471,42.4322190109524,612.2186889648438,0,4181,shared,2,uniform
6,467.2756042480469,0.2305177748203277,0.1182629689574241,0.2305177748203277,0.1182629689574241,38246,45.00689113198314,646.3917846679688,0,4775,shared,2,uniform
7,899.7701416015625,0.2301144301891327,0.1367322653532028,0.230114459991455,0.1367322653532028,41347,46.34938266500831,451.5846862792969,0,3101,shared,2,uniform
8,711.79052734375,0.2406038492918014,0.1342550665140152,0.2406038492918014,0.1342550665140152,47084,49.03426296001999,845.7511596679688,0,5737,shared,2,uniform
9,344.24658203125,0.2324773073196411,0.1251442283391952,0.2324773073196411,0.1251442283391952,51622,49.17748728598235,696.4762573242188,0,4538,shared,2,uniform
0,1468.1959228515625,0.0758028402924537,0.0811993479728698,0.0819715782999992,0.0862612426280975,8000,33.41077249497175,,0,8000,shared,2,q_dagger
