architecture,mode,seeds,mean_final_reward,std_final_reward,median_final_reward,solved
independent,q_dagger,5,1282.2279724121095,1115.1501277481796,832.54052734375,0
independent,uniform,5,925.5435852050781,424.99273910390195,909.28955078125,0
shared,q_dagger,5,1067.0862121582031,1027.4367660875755,735.671630859375,0
shared,uniform,5,545.9353454589843,293.7509930718482,415.328125,0
