model,mode,seed,best_iteration,best_reward,last_iteration,source
Operon,q_dagger,0,8,1463.6123046875,9,dagger_operon_hopper/operon_dagger_both_5seeds_target3250/seed_0/q_dagger/metrics.csv
Operon,q_dagger,1,4,1049.258056640625,9,dagger_operon_hopper/operon_dagger_both_5seeds_target3250/seed_1/q_dagger/metrics.csv
Operon,q_dagger,2,8,1328.8363037109375,9,dagger_operon_hopper/operon_dagger_both_5seeds_target3250/seed_2/q_dagger/metrics.csv
Operon,q_dagger,3,6,1859.6826171875,9,dagger_operon_hopper/operon_dagger_both_5seeds_target3250/seed_3/q_dagger/metrics.csv
Operon,q_dagger,4,0,986.4190673828124,9,dagger_operon_hopper/operon_dagger_both_5seeds_target3250/seed_4/q_dagger/metrics.csv
Single CGP (k=16),uniform,0,3,2520.17431640625,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_0/uniform/metrics.csv
Single CGP (k=16),uniform,1,9,1012.0402221679688,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_1/uniform/metrics.csv
Single CGP (k=16),uniform,2,0,1175.3253173828125,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_2/uniform/metrics.csv
Single CGP (k=16),uniform,3,5,1862.548828125,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_3/uniform/metrics.csv
Single CGP (k=16),uniform,4,0,2374.77001953125,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_4/uniform/metrics.csv
Single CGP (k=16),q_dagger,0,3,2923.233154296875,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_0/q_dagger/metrics.csv
Single CGP (k=16),q_dagger,1,8,1228.6458740234375,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_1/q_dagger/metrics.csv
Single CGP (k=16),q_dagger,2,1,3154.033447265625,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_2/q_dagger/metrics.csv
Single CGP (k=16),q_dagger,3,8,1047.645751953125,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_3/q_dagger/metrics.csv
Single CGP (k=16),q_dagger,4,9,2878.05615234375,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/shared/seed_4/q_dagger/metrics.csv
CGP per action (k=16),uniform,0,9,1118.4163818359375,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_0/uniform/metrics.csv
CGP per action (k=16),uniform,1,4,2440.2265625,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_1/uniform/metrics.csv
CGP per action (k=16),uniform,2,9,1534.713134765625,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_2/uniform/metrics.csv
CGP per action (k=16),uniform,3,2,874.98193359375,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_3/uniform/metrics.csv
CGP per action (k=16),uniform,4,8,1207.8419189453125,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_4/uniform/metrics.csv
CGP per action (k=16),q_dagger,0,8,926.8448486328124,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_0/q_dagger/metrics.csv
CGP per action (k=16),q_dagger,1,9,1643.1402587890625,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_1/q_dagger/metrics.csv
CGP per action (k=16),q_dagger,2,5,1649.834228515625,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_2/q_dagger/metrics.csv
CGP per action (k=16),q_dagger,3,7,2052.726806640625,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_3/q_dagger/metrics.csv
CGP per action (k=16),q_dagger,4,9,3054.328125,9,dagger_cgp_feature_hopper/k16_ann_protocol_both_5seeds_target3250/independent/seed_4/q_dagger/metrics.csv
