architecture,mode,seed,best_iteration,best_reward
independent,q_dagger,0,8,926.8448486328124
independent,q_dagger,1,9,1643.1402587890625
independent,q_dagger,2,5,1649.834228515625
independent,q_dagger,3,7,2052.726806640625
independent,q_dagger,4,9,3054.328125
independent,uniform,0,9,1118.4163818359375
independent,uniform,1,4,2440.2265625
independent,uniform,2,9,1534.713134765625
independent,uniform,3,2,874.98193359375
independent,uniform,4,8,1207.8419189453125
shared,q_dagger,0,3,2923.233154296875
shared,q_dagger,1,8,1228.6458740234375
shared,q_dagger,2,1,3154.033447265625
shared,q_dagger,3,8,1047.645751953125
shared,q_dagger,4,9,2878.05615234375
shared,uniform,0,3,2520.17431640625
shared,uniform,1,9,1012.0402221679688
shared,uniform,2,0,1175.3253173828125
shared,uniform,3,5,1862.548828125
shared,uniform,4,0,2374.77001953125
