iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.10123390952746074,986.4190673828125,,8000,8000,10000,,
1,0.12316100051005681,237.7214813232422,1287.4989013671875,16988,10000,8988,20,0
2,0.14796182513237,302.7493896484375,238.1549835205078,20428,10000,3440,20,0
3,0.12403012563784917,811.073974609375,290.6060485839844,22869,10000,2441,20,0
4,0.13079968094825745,701.3241577148438,812.8300170898438,28801,10000,5932,20,0
5,0.12738811721404394,310.9223937988281,702.3411254882812,33361,10000,4560,20,0
6,0.12170604368050893,643.29736328125,285.6432800292969,36082,10000,2721,20,0
7,0.13401710242033005,737.6556396484375,679.4647827148438,40344,10000,4262,20,0
8,0.12582100927829742,910.5714721679688,735.583251953125,45121,10000,4777,20,0
9,0.15241349240144095,412.3290100097656,844.7133178710938,50808,10000,5687,20,0
