iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,832.5592041015625,0.06863299012184143,0.07228652387857437,0.07716849446296692,0.07860833406448364,8000,93.15061930200318,,0,8000
1,1157.5208740234375,0.13236114382743835,0.09844354540109634,0.17075039446353912,0.10656861960887909,14801,102.337356973032,900.2140502929688,0,6801
2,445.8560485839844,0.15331478416919708,0.11639236658811569,0.18893449008464813,0.12086234986782074,22014,108.26948233199073,1153.226806640625,0,7213
3,296.8041687011719,0.16766829788684845,0.1241905689239502,0.20781229436397552,0.12751813232898712,24994,109.33549986599246,447.8307800292969,0,2980
4,408.3802795410156,0.16906768083572388,0.10302773118019104,0.20332618057727814,0.11251650005578995,27474,113.06866365199676,296.3769226074219,0,2480
5,1649.834228515625,0.17697644233703613,0.11406195163726807,0.2176217883825302,0.12493836879730225,30442,112.53580888098804,407.1053466796875,0,2968
6,1190.0718994140625,0.18591850996017456,0.11229941993951797,0.21995648741722107,0.12454560399055481,40493,121.4655672700028,1641.946533203125,0,10051
7,668.0755004882812,0.20838183164596558,0.12938493490219116,0.2438519448041916,0.13135959208011627,51887,129.42842403799295,1763.519775390625,0,11394
8,886.8942260742188,0.20276324450969696,0.1347626894712448,0.2427462935447693,0.14102038741111755,56147,132.54355355899315,663.1815795898438,0,4260
9,832.54052734375,0.2104877382516861,0.12386863678693771,0.24505743384361267,0.13545578718185425,61772,138.7512664179667,880.2041015625,0,5625
