position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,70,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
1,71,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
2,72,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
3,73,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
4,74,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
5,75,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
6,76,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
7,77,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
8,78,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
9,79,0.01889471337199211,0.012281795032322407,7.5,0.016533738002181053,0.010158277116715908,9.300000190734863,"[-0.46850404143333435, 0.27544915676116943]"
