iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0013508462579920888,5956.96923828125,,8000,8000,10000,,
1,0.0063779293559491634,521.7474975585938,4411.107421875,17450,10000,9450,20,0
2,0.006156401243060827,938.6052856445312,518.9071044921875,18590,10000,1140,20,0
3,0.007712155114859343,292.48980712890625,939.9003295898438,20629,10000,2039,20,0
4,0.00450986810028553,987.7117309570312,264.9554748535156,21223,10000,594,20,0
5,0.004559031687676907,994.47900390625,1002.9036254882812,23404,10000,2181,20,0
6,0.004575151950120926,1086.4586181640625,936.9029541015625,25445,10000,2041,20,0
7,0.006197875831276178,912.9552001953125,1086.150390625,27796,10000,2351,20,0
8,0.0043163057416677475,1039.881103515625,903.6354370117188,29758,10000,1962,20,0
9,0.004428030923008919,1230.948486328125,1000.1564331054688,31934,10000,2176,20,0
