iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,496.042724609375,0.07097432017326355,0.07257142663002014,0.07097432017326355,0.07257142663002014,8000,98.35523497499526,,0,8000
1,207.34629821777344,0.11000654846429825,0.08869589865207672,0.11000654846429825,0.08869589865207672,11089,99.87632861500606,378.6932067871094,0,3089
2,708.25390625,0.12378840893507004,0.09460151195526123,0.12378840893507004,0.09460151195526123,13186,101.46781577600632,207.9592742919922,0,2097
3,339.26055908203125,0.15944065153598785,0.0958041101694107,0.15944065153598785,0.0958041101694107,18053,106.27836066001328,732.5518188476562,0,4867
4,593.7596435546875,0.17244185507297516,0.11112543195486069,0.17244185507297516,0.11112543195486069,20875,109.93022475403268,340.3396911621094,0,2822
5,610.5794067382812,0.1890818178653717,0.11385558545589447,0.1890818178653717,0.11385558545589447,24658,109.84724203305086,577.7606201171875,0,3783
6,402.0977478027344,0.19639503955841064,0.1154501885175705,0.19639503955841064,0.1154501885175705,28870,113.03404317901004,612.6298828125,0,4212
7,919.2666015625,0.19879235327243805,0.11248166859149933,0.19879235327243805,0.11248166859149933,31612,114.33281525800703,402.7682189941406,0,2742
8,845.7152709960938,0.20118393003940582,0.11861541122198105,0.20118393003940582,0.11861541122198105,37424,120.10215397400316,906.2963256835938,0,5812
9,1534.713134765625,0.20261991024017334,0.10846281796693802,0.20261991024017334,0.10846281796693802,42444,123.71911060600542,841.31787109375,0,5020
