iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,recovery_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions,selected_fitness_rank,validation_candidates,behavior_policy_iteration,behavior_policy_reward,realized_expert_contribution
0,0.107720636,89.5999984741211,,,5000,5000,0,0,1.0,0.108208954,0.10971623,,2,10,,,
1,0.11041726,88.80000305175781,1000.0,0.8,15000,5000,9926,74,1.0,0.109691694,0.1148004,0,1,10,0,89.5999984741211,0.8
2,0.12314881,194.3000030517578,1000.0,0.7000000000000001,16861,5000,11250,611,1.0,0.11707001,0.13768396,0,9,10,0,89.5999984741211,0.7000000000000001
3,0.12038531,237.60000610351562,1000.0,0.6000000000000001,16969,5000,11250,719,1.0,0.11609863,0.13113292,0,9,10,2,194.3000030517578,0.6000000000000001
4,0.119641416,196.40000915527344,1000.0,0.5,17054,5000,11250,804,1.0,0.11591817,0.12887271,0,4,10,3,237.60000610351562,0.5
5,0.119183816,81.70000457763672,1000.0,0.4,17130,5000,11250,880,1.0,0.116215296,0.12749282,0,6,10,3,237.60000610351562,0.4
6,0.11917453,81.30000305175781,1000.0,0.30000000000000004,17195,5000,11250,945,1.0,0.11587103,0.12755045,0,5,10,3,237.60000610351562,0.30000000000000004
7,0.12000793,81.30000305175781,1000.0,0.19999999999999996,17236,5000,11250,986,1.0,0.11607447,0.12903214,0,1,10,3,237.60000610351562,0.19999999999999996
8,0.12114031,81.30000305175781,1000.0,0.09999999999999998,17236,5000,11250,986,1.0,0.115873285,0.1318597,0,1,10,3,237.60000610351562,0.09999999999999998
9,0.12794016,1000.0,236.3,0.0,17278,5000,11250,1028,1.0,0.12633036,0.1425383,0,1,10,3,237.60000610351562,0.0
