iteration,imitation_loss,test_imitation_loss,student_reward,behavior_reward,dataset_size,new_samples,collection_trajectories,invalid_transitions
0,0.09490316361188889,0.0994931310415268,755.4669799804688,,8000,10000,,
1,0.18400171399116516,0.12223963439464569,708.8011474609375,740.8661499023438,13266,5266,20,0
2,0.2277447134256363,0.12916679680347443,281.93780517578125,735.5445556640625,18941,5675,20,0
3,0.24236741662025452,0.13687965273857117,647.7384643554688,281.8813171386719,21672,2731,20,0
4,0.25522348284721375,0.1417858600616455,689.2257690429688,649.6624755859375,26142,4470,20,0
5,0.2623864710330963,0.14712128043174744,693.3941650390625,685.6721801757812,30420,4278,20,0
6,0.2688770890235901,0.14861755073070526,641.5479736328125,691.5016479492188,34851,4431,20,0
7,0.2709583640098572,0.14788050949573517,774.3523559570312,641.3026733398438,39266,4415,20,0
8,0.275112509727478,0.14800776541233063,721.1731567382812,730.7579956054688,44125,4859,20,0
9,0.29111218452453613,0.1475629210472107,77.32537841796875,728.4540405273438,49116,4991,20,0
