position,repertoire_index,train_mse_before,validation_mse_before,reward_before,train_mse_after,validation_mse_after,reward_after,scaling_weights_after
0,9,0.04278858006000519,0.043226826936006546,124.5999984741211,0.03519986569881439,0.03945712372660637,157.40000915527344,[]
1,8,0.04356575012207031,0.044385965913534164,121.30000305175781,0.035576242953538895,0.040264029055833817,175.6999969482422,[]
2,7,0.0423402413725853,0.04312312975525856,130.90000915527344,0.035278815776109695,0.03963150829076767,154.90000915527344,[]
3,6,0.042139966040849686,0.04407070577144623,122.0,0.035859640687704086,0.040808867663145065,160.40000915527344,[]
4,5,0.04260808229446411,0.04423738643527031,123.30000305175781,0.035832300782203674,0.040747739374637604,161.3000030517578,[]
5,4,0.043216731399297714,0.04364273324608803,126.4000015258789,0.03530167043209076,0.039679206907749176,156.1999969482422,[]
6,3,0.0420415922999382,0.043220870196819305,120.9000015258789,0.03534948453307152,0.03981819376349449,159.1999969482422,[]
7,2,0.04291577264666557,0.043696239590644836,122.5,0.035415589809417725,0.039925139397382736,163.1999969482422,[]
8,1,0.04215269163250923,0.04359510540962219,122.0999984741211,0.035551972687244415,0.0402224138379097,160.10000610351562,[]
9,0,0.0421927310526371,0.043498191982507706,131.1999969482422,0.03548144921660423,0.040081143379211426,160.8000030517578,[]
