iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.0016285107703879476,5134.1162109375,,8000,8000,10000,,
1,0.013869818300008774,133.2022705078125,4750.08447265625,18186,10000,10186,20,0
2,0.0036000597756356,157.30783081054688,139.16734313964844,18511,10000,325,20,0
3,0.010306897573173046,240.25637817382812,159.0983428955078,18879,10000,368,20,0
4,0.008157997392117977,266.77691650390625,239.84817504882812,19418,10000,539,20,0
5,0.006764073856174946,287.4127502441406,270.46875,20022,10000,604,20,0
6,0.006659580394625664,299.5953063964844,287.9061584472656,20663,10000,641,20,0
7,0.005288726184517145,320.18048095703125,299.13836669921875,21328,10000,665,20,0
8,0.003813535440713167,339.7427062988281,322.9552917480469,22044,10000,716,20,0
9,0.002846411196514964,373.4837341308594,340.740234375,22798,10000,754,20,0
