iteration,student_reward,imitation_loss,test_imitation_loss,train_mse,validation_mse,dataset_size,fit_seconds,behavior_reward,invalid_transitions,new_samples
0,57.234771728515625,0.0743812620639801,0.07311437278985977,0.08115797489881516,0.07784565538167953,8000,40.762131630966906,,0,8000
1,267.166015625,0.07858268916606903,0.07766712456941605,0.10033760964870453,0.08270695805549622,8790,46.31760128901806,56.964576721191406,0,790
2,152.6920928955078,0.09080114960670471,0.08900806307792664,0.12683358788490295,0.09014935046434402,11548,37.891102548048366,261.6438903808594,0,2758
3,390.8510437011719,0.10410134494304657,0.09899847209453583,0.15390145778656006,0.10009143501520157,13316,47.20906077499967,153.2474822998047,0,1768
4,812.7052001953125,0.12617512047290802,0.10089852660894394,0.19090433418750763,0.10471385717391968,16836,45.11170085595222,400.40478515625,0,3520
5,499.62109375,0.15820683538913727,0.1128666028380394,0.22991517186164856,0.1108744665980339,22500,43.46661788900383,804.7091674804688,0,5664
6,967.0830078125,0.1716734915971756,0.12142908573150635,0.23898111283779144,0.11752939224243164,26053,45.00713847600855,532.3015747070312,0,3553
7,917.8822631835938,0.19297181069850922,0.12095852196216583,0.262280136346817,0.1259460598230362,32042,45.7965454509831,931.7171020507812,0,5989
8,1228.6458740234375,0.1934497207403183,0.12811528146266937,0.25269922614097595,0.13113974034786224,37529,49.25718557200162,916.7322387695312,0,5487
9,485.2554626464844,0.22054366767406464,0.14569269120693207,0.2657954692840576,0.15689371526241302,43900,55.745867211022414,1108.15966796875,0,6371
