iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples,finite_fitness_fraction,performance_gap,fidelity_gap,invalid_collected_transitions
0,0.107011564,27.7,,,5000,5000,0,1.0,0.10359772,0.11387704,
1,0.13960119,242.1,1000.0,0.5,10000,5000,5000,1.0,0.1213983,0.18236852,0
2,0.14313674,250.1,9.0,0.5,10045,5000,5045,1.0,0.13345727,0.17833622,0
3,0.13222648,250.1,1000.0,0.5,15045,5000,10045,1.0,0.12308335,0.1594901,0
4,0.12669143,248.90001,1000.0,0.5,20000,5000,15000,1.0,0.11842007,0.14949752,0
5,0.12193701,105.700005,1000.0,0.5,20000,5000,15000,1.0,0.12973021,0.13593332,0
6,0.11860059,119.8,1000.0,0.5,20000,5000,15000,1.0,0.12383312,0.13122086,0
7,0.11568947,120.0,1000.0,0.5,20000,5000,15000,1.0,0.109676406,0.12804562,0
8,0.11444649,120.0,1000.0,0.5,20000,5000,15000,1.0,0.108864665,0.12586226,0
9,0.11338338,120.0,1000.0,0.5,20000,5000,15000,1.0,0.108261295,0.12381415,0
