Complexity,Loss,Equation
1,0.1258211,"0.21518539"
2,0.10105206,"tanh(x3)"
3,0.065317854,"tanh(tanh(x3))"
4,0.055384465,"tanh(tanh(tanh(x3)))"
5,0.05229159,"tanh(tanh(x1 - x2))"
6,0.049124252,"x1 - tanh(tanh(tanh(x2)))"
7,0.047544047,"x1 - tanh(tanh(tanh(tanh(x2))))"
8,0.046225313,"tanh(tanh((x1 - tanh(x2)) + 0.06996099))"
9,0.044353586,"x1 + tanh(tanh(0.06996099 - tanh(tanh(x2))))"
10,0.043075528,"tanh(tanh(tanh(tanh(tanh(x3) + x1))) - -0.05400371)"
12,0.040253498,"x1 + tanh((((-0.7492048 * -0.67748356) / 1.7212036) * x3) + x1)"
13,0.03914152,"x1 + (((x3 * ((x0 + -0.7492048) * -0.67748356)) / 1.7212036) + x1)"
14,0.036560036,"(x1 + (tanh(((x3 * 0.40320903) + x1) / 0.6770378) * 0.58976483)) + 0.05783023"
16,0.03348149,"x1 + tanh(tanh(tanh(x1 + ((x3 / -0.37527862) * (x0 + (x0 + -0.37024114))))))"
17,0.031767998,"tanh(tanh(tanh(tanh((x2 * (x1 + ((x0 + -0.14405486) * 6.256042))) + x1) / 0.5408971)))"
18,0.028362945,"(tanh(tanh(tanh(tanh(((tanh(x0) + -0.18016843) * (x3 * -3.090498)) + x1)))) + x1) - -0.026112363"
20,0.01667141,"tanh(tanh(tanh(tanh(tanh((x2 * 2.6089308) - -0.9825416) + (((x1 * 5.9832006) + x3) + -1.03283))))) + 0.2853298"
22,0.016548853,"tanh(tanh(tanh(tanh((((x1 + (x1 * 5.102855)) + x3) + -1.0471841) + tanh((x2 * 2.6935022) - -0.94735575))))) + 0.303355"
23,0.015587739,"tanh(tanh(tanh(((((9.043636 * x1) * (0.5076597 + x1)) + -1.0194634) + x3) + tanh((2.6617625 * x2) - -0.99052274)))) + 0.27981853"
24,0.015254735,"tanh(tanh(tanh(tanh(tanh((x2 * 2.5648031) - -0.97358936) + ((x3 + ((x1 + 0.49027658) * (x1 * 9.107203))) + -1.0142615))))) + 0.27770042"
