generation,best_loss,median_loss
0,0.14536429941654205,0.18404000997543335
1,0.1424083411693573,0.162381112575531
2,0.1399340033531189,0.1564284712076187
3,0.13440196216106415,0.1532401442527771
4,0.13220952451229095,0.15140387415885925
5,0.13220952451229095,0.1479330211877823
6,0.13220952451229095,0.14667463302612305
7,0.12679627537727356,0.14463838934898376
8,0.12679627537727356,0.14243562519550323
9,0.12679627537727356,0.1410461664199829
10,0.12679627537727356,0.13880150020122528
11,0.12679627537727356,0.13712704181671143
12,0.12495356798171997,0.13562099635601044
13,0.12204401940107346,0.1329222023487091
14,0.12204401940107346,0.13186047971248627
15,0.12203827500343323,0.13067486882209778
16,0.12203827500343323,0.12982651591300964
17,0.12203827500343323,0.12909018993377686
18,0.12044104933738708,0.1286379098892212
19,0.12009849399328232,0.12813253700733185
20,0.12009849399328232,0.1279786229133606
21,0.11863679438829422,0.1277308166027069
22,0.11863679438829422,0.1275058090686798
23,0.11863679438829422,0.12691158056259155
24,0.11846503615379333,0.12602826952934265
25,0.11846503615379333,0.12581227719783783
26,0.11846503615379333,0.12496645003557205
27,0.11827011406421661,0.12490499019622803
28,0.11827011406421661,0.12462980300188065
29,0.11827011406421661,0.12444804608821869
30,0.11827011406421661,0.12433693557977676
31,0.11596420407295227,0.1239168792963028
32,0.11596420407295227,0.1234826147556305
33,0.11567095667123795,0.12322794646024704
34,0.11567095667123795,0.12270815670490265
35,0.11567095667123795,0.1225079670548439
36,0.11567095667123795,0.12241235375404358
37,0.11567095667123795,0.12231903523206711
38,0.11567095667123795,0.12211504578590393
39,0.11567095667123795,0.12193167209625244
40,0.11404897272586823,0.12168270349502563
41,0.11329559236764908,0.12143224477767944
42,0.11329559236764908,0.12121851742267609
43,0.11329559236764908,0.12098218500614166
44,0.11329559236764908,0.1206083744764328
45,0.11329559236764908,0.12042617797851562
46,0.11329559236764908,0.12029851973056793
47,0.11329559236764908,0.12016424536705017
48,0.11329559236764908,0.12006856501102448
49,0.11329559236764908,0.11979138851165771
50,0.11329559236764908,0.1196177676320076
51,0.11329559236764908,0.11955051124095917
52,0.11329559236764908,0.11943741887807846
53,0.11329559236764908,0.11935898661613464
54,0.11329559236764908,0.11932237446308136
55,0.11329559236764908,0.11917291581630707
56,0.11329559236764908,0.11901508271694183
57,0.11329559236764908,0.11887386441230774
58,0.11190324276685715,0.1187753975391388
59,0.11190324276685715,0.11860521882772446
60,0.11190324276685715,0.11860521882772446
61,0.11190324276685715,0.11851136386394501
62,0.11190324276685715,0.1184215247631073
63,0.11190324276685715,0.1183769553899765
64,0.11190324276685715,0.11832519620656967
65,0.11190324276685715,0.11821725964546204
66,0.11190324276685715,0.11807996034622192
67,0.11190324276685715,0.11787467449903488
68,0.11190324276685715,0.11783578246831894
69,0.11190324276685715,0.11781546473503113
70,0.11190324276685715,0.11774006485939026
71,0.11190324276685715,0.1175406351685524
72,0.11190324276685715,0.11746986210346222
73,0.11190324276685715,0.11742670089006424
74,0.11190324276685715,0.11741860955953598
75,0.11190324276685715,0.11741860955953598
76,0.11190324276685715,0.11736487597227097
77,0.11190324276685715,0.11736487597227097
78,0.11190324276685715,0.11724293231964111
79,0.11190324276685715,0.11704374849796295
80,0.11190324276685715,0.11694198846817017
81,0.11171486228704453,0.11683079600334167
82,0.11171486228704453,0.11681169271469116
83,0.11171486228704453,0.11680296063423157
84,0.11171486228704453,0.11675975471735
85,0.11171486228704453,0.11672748625278473
86,0.11171486228704453,0.11672748625278473
87,0.11171486228704453,0.11667732894420624
88,0.11171486228704453,0.11658041924238205
89,0.11171486228704453,0.11650952696800232
90,0.11171486228704453,0.11650952696800232
91,0.11171486228704453,0.11650952696800232
92,0.11171486228704453,0.11638398468494415
93,0.11171486228704453,0.11635418981313705
94,0.11171486228704453,0.11627152562141418
95,0.11171486228704453,0.11623681336641312
96,0.11171486228704453,0.11620908975601196
97,0.11171486228704453,0.1161799430847168
98,0.11171486228704453,0.11613712459802628
99,0.11171486228704453,0.11605468392372131
