iteration,gm_loss,symbolic_reward,mixed_reward,expert_weight,dataset_size,expert_samples,dagger_samples
0,0.10499356,84.6,,,5000,5000,0
1,0.15496798,189.8,1000.0,0.5,10000,5000,5000
2,0.13426334,258.9,1000.0,0.5,15000,5000,10000
3,0.12843367,245.1,1000.0,0.5,20000,5000,15000
4,0.123383634,237.6,1000.0,0.5,20000,5000,15000
5,0.11915455,1000.0,1000.0,0.5,20000,5000,15000
