iteration,validation_mse,student_reward,behavior_reward,dataset_size,fit_samples,new_samples,collection_trajectories,invalid_transitions
0,0.10312433292468388,229.69180297851562,,8000,8000,10000,,
1,0.11287477612495422,491.13653564453125,229.7522735595703,10158,10000,2158,20,0
2,0.11931972205638885,386.8670654296875,435.7997131347656,13601,10000,3443,20,0
3,0.11856091767549515,174.2965545654297,385.8719482421875,16747,10000,3146,20,0
4,0.11590684701999028,355.2168273925781,174.06678771972656,18407,10000,1660,20,0
5,0.13031071424484253,45.50374984741211,354.9914245605469,21556,10000,3149,20,0
6,0.11659788588682811,1193.9525146484375,45.43943405151367,22092,10000,536,20,0
7,0.11736127982536952,322.4256286621094,1111.928955078125,30263,10000,8171,20,0
8,0.13874173412720361,500.39385986328125,323.77862548828125,33184,10000,2921,20,0
9,0.12586994469165802,897.4234619140625,493.2789001464844,37108,10000,3924,20,0
